Tweet;Target;pred_target;dependencia;pred_entidad
Adolfo Domínguez refuerza la dirección con Antonio Puente y amplía el plan de incentivos;Adolfo Domínguez;Adolfo;nsubj;PER
Madrid es la comunidad más favorecida con la inversión estatal en la era Sánchez;Madrid;Madrid;nsubj;LOC
El euríbor sube sin tregua en mayo y dispara el coste de la hipoteca media en 600 euros al año;euríbor;euríbor;nsubj;OTHER
La inflación en la zona euro supera el 8 por primera vez desde la creación de la moneda única;inflación;inflación;nsubj;OTHER
Llegan menos turistas pero gastan más el desembolso de los visitantes extranjeros se disparó en Semana Santa;desembolso extranjeros;desembolso;obj;OTHER
Orange lanza una ofensiva low cost con Simyo con tarifas convergentes desde 29 euros;Orange;Orange;nsubj;ORG
El Corte Inglés reduce su deuda en 1010 millones con la entrada de Mutua en su capital;deuda;deuda;obj;OTHER
La ruptura comercial con Rusia restaría hasta 24 puntos al PIB según el Banco de España;PIB;PIB;obj;MISC
La familia Jove vuelve a situarse entre los grandes del ladrillo;Jove;None;None;None
La ruptura total del comercio con Rusia restaría hasta un 21 a la economía española;economía española;economía;obj;OTHER
Cellnex confirma su interés en comprar las torres de Deutsche Telekom;Cellnex;Cellnex;nsubj;ORG
El déficit público se reduce en 16000 millones en marzo por el tirón de los ingresos;déficit público;déficit;nsubj;OTHER
La filial financiera de Telefónica y CaixaBank cuadruplica beneficio e incorpora nuevo consejero;beneficio;beneficio;obj;OTHER
El precio disparado del butano ahoga a los hogares En lugar de tres bombonas al mes ahora consumo dos;butano;None;None;None
La inflación y la mejora de empleo y salarios disparan la recaudación de impuestos;impuestos;None;None;None
Crece la factura de la crisis bancaria;factura;factura;nsubj;OTHER
Técnicas Reunidas coge aire tras el rescate público;Técnicas Reunidas;Técnicas;nsubj;OTHER
El Estado central solo ejecutó el 36 de las inversiones presupuestadas en Cataluña mientras las duplicó en Madrid;Cataluña;None;None;None
Castellana Properties vuelve al club de las socimis milmillonarias;Castellana Properties;Castellana;nsubj;ORG
El sector gasista calcula que el biometano podría cubrir la tercera parte de la demanda en España;biometano;biometano;nsubj;OTHER
El Gobierno obligará a las empresas a no hacer esperar a sus clientes más de tres minutos al teléfono;empresas;None;None;None
El efecto divisa da un respiro a las empresas españolas más internacionalizadas y ahoga a otras;empresas españolas;empresas;obj;OTHER
El precio de la luz sube ligeramente este lunes pero se mantiene por debajo de los 200 euros;luz;None;None;None
El complemento para prejubilados con largas carreras de cotización alcanza a casi 99000 pensionistas;prejubilados;None;None;None
Renfe invierte un millón de euros en la remodelación integral de la Sala Club de la estación de Atocha;Renfe;Renfe;nsubj;ORG
El criptoinvierno pone en peligro la estabilidad de las plataformas de compraventa;plataformas de compraventa;None;None;None
Los visados de obra nueva aumentaron un 1842 en el primer trimestre con el mejor marzo desde 2009;visados de obra;visados;nsubj;OTHER
Minsait incorporará a 4000 profesionales en España este año lo que le permitirá consolidarse como el mayor empleador de perfiles tecnológicos del país;Minsait;Minsait;nsubj;ORG
La filial brasileña de Iberdrola debutará en Latibex el próximo 7 de junio;Iberdrola;None;None;None
El precio de la luz baja este domingo un 5 y se sitúa por debajo de los 200 euros el megavatio hora;luz;None;None;None
El Ministerio de Transportes e ICO lanzan dos líneas de crédito para proyectos de movilidad sostenible;ministerio de Transportes;None;None;None
Ciudadanos rechaza la subida al 15 de pensiones no contributivas No creemos que sea el momento;pensiones;None;None;None
LoMásLeído  Las compras de Alemania a Rusia aumentaron un 599 hasta abril;compras;compras;nsubj;OTHER
LoMásLeído  Musk planea recortar un 10 la plantilla de Tesla por un mal presentimiento sobre la economía;plantilla Tesla;plantilla;obj;OTHER
La PMP considera positiva la subida del 15 en las pensiones no contributivas;pensiones;None;None;None
La china Envision lidera un consorcio de 1000 millones que impulsará una gigafactoría en Extremadura;Extremadura;None;None;None
Las ventas de coches en Alemania caen un 102 en mayo hasta 207199 unidades;venta de coches;None;None;None
Allianz asumirá un impacto adverso de 400 millones tras vender el 501 de su negocio ruso a Interholding;Allianz;Allianz;nsubj;ORG
Bristol Myers Squibb compra Turning Point Therapuetics por 3820 millones;Bristol Myers Squibb;Bristol;nsubj;ORG
Empresarios iberoamericanos se comprometen a hacer una Iberoamérica más emprendedora conectada y sostenible;Ibeoamérica;None;None;None
La CNMC da luz verde a la compra por parte de BBVA de 659 sucursales a Merlin por 2000 millones de euros;BBVA;None;None;None
El Ibex35 rompe su racha de tres semanas consecutivas al alza con un retroceso del 23;#Ibex35;Ibex35;nsubj;OTHER
Acerinox se deja más de un 3 en Bolsa tras confirmar conversaciones para una fusión con Aperam;Acerinox;Acerinox;nsubj;ORG
Los servicios sostienen el crecimiento en la zona euro pero no espantan el riesgo de recesión según PMI;servicios;servicios;nsubj;OTHER
Iberdrola avanza en la construcción de su parque eólico marino SaintBrieuc Francia;Iberdrola;Iberdrola;nsubj;ORG
Banco Santander amortizará una emisión de cédulas hipotecarias de 2000 millones de euros;Banco Santander;Banco;nsubj;ORG
Renfe estima en 305 millones de euros su ahorro para la sociedad en términos de impacto ambiental;Renfe;Renfe;nsubj;ORG
Escrivá asegura que la subida del 15 de las pensiones no contributivas tiene todo el sentido;pensiones;None;None;None
Scope Ratings mantiene la calificación de España en A con perspectiva estable;España;None;None;None
El paro de Estados Unidos se mantiene en el 36 en mayo pero se crean 390000 empleos;paro;paro;nsubj;OTHER
Expira el plazo regulatorio de espera para la compra de Twitter por Elon Musk;plazo;plazo;obj;OTHER
El Euríbor arranca junio sobre el 045 en máximos de casi ocho años;Euríbor;Euríbor;nsubj;ORG
SEPI compra a los March su participación en Indra y podrá nombrar un tercer consejero;SEPI;SEPI;nsubj;ORG
España 53 se desmarca de la caída de las ventas minoristas en la eurozona 13 en el mes de abril;España;España;nsubj;LOC
El precio de la luz cae este sábado un 5 y se sitúa en los 20386 eurosMWh;luz;None;None;None
CCOO denuncia a Deutsche Bank España ante la Inspección de Trabajo por el registro horario;Deutsche Bank;Deutsche;obj;OTHER
Los cambios de compañía eléctrica aumentaron un 50 en los últimos dos años según la CNMC;compañía eléctrica;None;None;None
El Ibex35 cotiza plano en la media sesión sobre los 8700 puntos;#Ibex35;Ibex35;nsubj;OTHER
Factum participada por Banco Santander impulsa una nueva línea de negocio de ciberseguridad para pymes;Factum;Factum;nsubj;ORG
Santander y Dcoop firman un acuerdo para apoyar a más de 75000 socios agricultores y ganaderos;agricultores ganaderos;None;None;None
Acerinox cae más de un 4 en Bolsa tras confirmar conversaciones muy preliminares para una fusión con Aperam;Acerinox;Acerinox;nsubj;ORG
El número de mujeres emprendedoras superó en 2021 al de hombres por primera vez según el informe GEM;mujeres emprendedoras;None;None;None
El 96 de los empleados de Vodafone España se adhiere al teletrabajo de tres días por semana;teletrabajo;teletrabajo;obj;OTHER
El precio del alquiler sube un 14 en mayo en España según Idealista;precio alquiler;precio;nsubj;OTHER
Cuatroochenta aprueba una ampliación de capital de hasta 8 millones de euros;Cuatroochenta;Cuatroochenta;nsubj;ORG
La tasa de inflación de Turquía escala al 735;inflación;None;None;None
Las compras de Alemania a Rusia aumentaron un 599 hasta abril;compras;compras;nsubj;OTHER
La CNMV suspende la cotización de Acerinox ante una posible fusión con Aperam;cotización;cotización;obj;OTHER
El Ibex35 despierta con una subida del 065 hasta los 8800 pendiente del informe de empleo de EEUU;#Ibex35;Ibex35;nsubj;OTHER
Fluidra abonará un dividendo bruto de 043 euros el próximo 5 de julio;dividendo bruto;dividendo;obj;OTHER
LoMásLeído  Gobierno pacta con Bildu subir pensiones no contributivas un 15 por su abstención al fondo de pensiones;pensiones;pensiones;obj;OTHER
LoMásLeído  El paro baja de los 3 millones por primera vez desde 2008 tras reducirse en 99512 personas en mayo;paro;paro;nsubj;OTHER
LoMásLeído  El precio de la gasolina toca un nuevo máximo histórico y se come ya un 75 de la subvención del Gobierno;gasolina;None;None;None
Microsoft recorta previsiones trimestrales por el impacto adverso de un dólar más fuerte;Microsoft;Microsoft;nsubj;ORG
El unicornio español de la ciberseguridad Devo levanta 93 millones tras casi duplicar sus ingresos anuales;Devo;None;None;None
El PSOE intentará rectificar en el Congreso el destope de las bases de cotización que aprobó por error;PSOE;PSOE;nsubj;ORG
Iberia genera más de 9300 millones de euros al PIB español según un informe de PwC;Iberia;Iberia;nsubj;ORG
El PIB de Brasil se expande un 1 en el primer trimestre;PIB;PIB;nsubj;MISC
SEPI y el sindicado bancario aprueban el préstamo de 100 millones de Iberia a Air Europa;Air Europa;Air;obj;ORG
La OPEP bombeará un 50 más de petróleo en verano con Rusia y Arabia Saudí como principales productores;OPEP+;OPEP;nsubj;OTHER
Ikea abrirá una tienda de 7500 metros cuadrados en Parque Corredor Madrid con 180 empleos;Ikea;Ikea;nsubj;ORG
Galería Canalejas reabre sus puertas con tres plantas dedicadas a la moda al lujo y a la gastronomía;Galería Canalejas;Galería;nsubj;ORG
Unión de Uniones advierte de que las altas temperaturas provocan la pérdida del 20 en la cosecha de cereales;cosecha cereales;None;None;None
Renfe recibe el interés de 30 empresas para aliarse con su filial de Mercancías;Renfe;Renfe;nsubj;ORG
El Gobierno pacta con Bildu su abstención en la ley de planes de pensiones a cambio de subir un 15 las no contributivas;pensiones;None;None;None
Nueva Pescanova supera los 1000 millones de facturación en 2021 más que antes de la pandemia y duplica beneficios;Pescanova;None;None;None
Funcas destaca que la afiliación encadena dos meses de fuerte crecimiento pese al fin de los ERTE;afiliación;afiliación;nsubj;OTHER
Saitec inicia los trámites para instalar un parque eólico flotante piloto en aguas de la Costa Brava;Saitec;Saitec;nsubj;ORG
El Ibex35 cierra la sesión prácticamente plano frente a los índices europeos que finalizan con aumentos;#Ibex35;Ibex35;nsubj;OTHER
CEOE y Cepyme ven positivos los datos del paro pero alertan sobre la creación de falsas expectativas;paro;None;None;None
El Congreso destopa las bases máximas de cotización por un error del PSOE;PSOE;None;None;None
Maroto celebra el papel activo del turismo en la recuperación económica de España;turismo;None;None;None
El Gobierno salva su ley de planes de pensiones con apoyo de PNV y PRC y la abstención de Vox y Bildu;Gobierno;Gobierno;nsubj;ORG
Trabajo prevé que el paro siga reduciéndose en los próximos meses y destaca el efecto de la reforma laboral;paro;paro;nsubj;OTHER
El bono español a 10 años rinde a su mayor nivel desde mediados de 2015 superando el 23;bono español;bono;nsubj;OTHER
OHLA prevé crecer a un ritmo de dos concesiones al año a pesar de la incertidumbre económica;OHLA;OHLA;nsubj;ORG
SIA Indra adquiere la extremeña Mobeel para crecer en identidad digital;SIA;SIA;nsubj;OTHER
La mitad de consumidores españoles tiene en cuenta la sostenibilidad a la hora de realizar sus compras según un estudio;sostenibilidad;sostenibilidad;obj;OTHER
SampP rebaja el rating de El Salvador y advierte de las vulnerabilidades financieras y de deuda del país;rating;rating;obj;OTHER
Ucrania sube tipos al 25 en la primera intervención del banco central desde la invasión rusa;tipos;tipos;obj;OTHER
Empleados de Repsol adquieren 134064 acciones de la compañía como parte del plan de incentivos;empleados Repsol;None;None;None
Díaz replica al Banco de España que la mayoría de pensiones no llega a mil euros y defiende subirlas al IPC;pensiones;None;None;None
El empleo en el sector fintech en España creció un 210 en el primer trimestre del año según un informe;empleo;empleo;nsubj;OTHER
La demanda eléctrica baja en España un 04 en mayo según Red Eléctrica;eléctrica;None;None;None
El Tesoro coloca 4761 millones y eleva el interés del bono a 10 años por encima del 21;interés;interés;obj;OTHER
Repsol invertirá 105 millones en construir en Puertollano una fábrica pionera en España de super polímero;Repsol;Repsol;nsubj;ORG
La industria de la moda duplicará sus inversiones tecnológicas para el 2030 GO;industria moda;industria;nsubj;OTHER
El Abogado General del TUE exime de responsabilidad a Amazon por la venta de productos falsificados;Amazon;Amazon;obj;ORG
Renfe adjudica a Acciona y Clece la limpieza de los trenes por 243 millones de euros;Acciona Clece;Acciona;obj;OTHER
Díaz celebra los cambios intensos y rápidos en la calidad del empleo tras la reforma laboral;empleo;None;None;None
El precio de la luz cae ligeramente este viernes pero se mantiene por encima de los 214 eurosMWh;luz;None;None;None
UGT defiende que la mejora del empleo exige una subida generalizada de los salarios;salarios;None;None;None
USO lamenta que se cree empleo débil y que el crecimiento sea a distintas velocidades;empleo;empleo;nsubj;OTHER
ATA ve positivos los datos del paro pero destaca el frenazo en el número de nuevos autónomos;paro;None;None;None
La inflación de la OCDE se disparó en abril al 92 en máximos de 34 años;inflación;inflación;nsubj;OTHER
El Ibex35 avanza sobre los 8700 puntos 021 en la media sesión;#Ibex35;Ibex35;nsubj;OTHER
Las ampliaciones de capital caen un 76 en abril y dejan el acumulado con una caída superior al 36;capital;None;None;None
Los precios industriales de la eurozona registraron en abril una subida récord del 372;precios industriales;precios;nsubj;OTHER
El 20 de las gasolineras se encuentra en riesgo de impago según Iberinform;gasolineras;None;None;None
Sánchez celebra los datos y destaca que hay menos de tres millones de parados por primera vez desde 2008;parados;None;None;None
Montero dice que es un magnífico dato y destaca que la economía es robusta y sigue creciendo;economía;economía;nsubj;OTHER
 ÚLTIMAHORA  El precio de la gasolina toca un nuevo máximo histórico y se come ya un 75 de la subvención del Gobierno;gasolina;None;None;None
Escrivá pone en valor el alza de afiliados en un contexto de incertidumbre e inflación persistente;afiliados;None;None;None
La tecnológica AtSistemas saldrá a bolsa antes de que termine el año;AtSistemas;None;None;None
Toshiba recibe diez propuestas de inversión incluyendo ocho para excluir de cotización la empresa;Toshiba;Toshiba;nsubj;ORG
Las ejecuciones hipotecarias sobre viviendas habituales suben un 34 interanual en el primer trimestre;ejecuciones hipotecarias;ejecuciones;nsubj;OTHER
El Ibex35 amanece con una subida del 043 y se aferra a los 8700 enteros con el crudo a la baja;#Ibex35;Ibex35;nsubj;OTHER
ÚLTIMAHORA  La Seguridad Social registra su mejor mayo desde 2018 al ganar 213643 afiliados;Seguridad Social;None;None;None
ÚLTIMAHORA  El paro baja de los 3 millones por primera vez desde 2008 tras reducirse en 99512 personas en mayo;paro;paro;nsubj;OTHER
Sánchez recalca el crecimiento económico de España en la reunión con el presidente de Investcorp y llama a invertir;económico;None;None;None
LoMásLeído  Garzón avanza que el Gobierno estudia hacer más selectiva la bonificación al combustible;Gobierno;Gobierno;nsubj;ORG
LoMásLeído  El Tribunal de la UE avala la disolución de Banco Popular y rechaza devolver el dinero a los accionistas;accionistas;accionistas;obj;OTHER
LoMásLeído  La actividad manufacturera de España repuntó en mayo pero no despeja las sombras de estanflación según PMI;actividad manufacturera;actividad;nsubj;OTHER
Los fabricantes añadirían 800000 millones a su valor de mercado con una electrificación más rápida;fabricantes;fabricantes;nsubj;OTHER
Pfizer venderá su participación del 32 en Haleon la joint venture con GSK;Pfizer;Pfizer;nsubj;ORG
El consumo de energía fotovoltaica de autoconsumo se ha quintuplicado desde 2019 según estudio;energía fotovoltaica;None;None;None
Prologis invierte 60 millones de euros en un nuevo centro logístico en Madrid;centro logístico;None;None;None
AliExpress abre su octava tienda física en España con la apertura en La Gavia Madrid;Aliexpress;None;None;None
El mundo debe invertir más de 3 billones al año para cumplir la meta de emisiones cero en 2050 según FMI;mundo;mundo;nsubj;OTHER
Banco de España rebajará la próxima semana su previsión de PIB en unas décimas y ligeramente la inflación;Banco de España;Banco;nsubj;ORG
Los fondos de inversión registran en mayo suscripciones netas positivas de 1200 millones de euros;fondos de inversión;fondos;nsubj;OTHER
La cosecha de cereales de invierno sufrirá un recorte del 21 esta campaña según Asaja;cosecha cereales;cosecha;nsubj;OTHER
El laboratorio de microchips de Intel y BSC creará 300 empleos altamente cualificados;empleos;empleos;obj;OTHER
El BCE evalúa positivamente a Croacia de cara a la adopción del euro en 2023;Croacia;Croacia;obj;LOC
Evo Banco lanza una oferta de inversión indexada y reduce sus tarifas al mínimo histórico;Evo Banco;Evo;nsubj;ORG
Banco Santander lanza un servicio para ayudar a mejorar la eficiencia energética de las viviendas;eficiencia energética;eficiencia;obj;OTHER
El Ibex35 pierde un 118 en la sesión y cae a la cota de los 8700 enteros lastrado por Telefónica;#Ibex35;Ibex35;nsubj;OTHER
Bruselas propone la entrada al euro de Croacia en 2023;Croacia;None;None;None
Hacienda ha devuelto ya 4895 millones del IRPF a 74 millones de contribuyentes;contribuyentes;None;None;None
"Empresa Global  Energía eólica offshore 

Con la instalación de turbinas eólicas en el mar se obtiene el doble de energía eléctrica que en un parque terrestre medio

Ofrecido por iberdrola";energía eléctrica;None;None;None
Cuban cree que el criptoinvierno será positivo permitirá sobrevivir solo a los mejores activos;criptoinvierno;criptoinvierno;nsubj;OTHER
VÍDEO  El paro baja de los tres millones por primera vez desde 2008 con los indefinidos disparados;paro;None;None;None
El FIFA 22 en el ojo del huracán se investiga al videojuego por explotar injustamente a los niños;videojuego;videojuego;obj;OTHER
"Supermercados contra la inflación 

Más ofertas
Marca blanca
Nuevos envases";supermercados;None;None;None
 El Ibex 35 aún tiene camino un tercio de los valores tiene un potencial superior al 20;Ibex 35;Ibex;nsubj;MISC
Siro parará la producción en todas sus plantas tras quedarse sin comprador;Siro;Siro;nsubj;PER
Mercedes diseña un plan inversor de 1200 millones de euros para su planta de Vitoria;Mercedes;Mercedes;nsubj;PER
La muerte de un clásico se acabaron las bodas de Elvis Presley en Las Vegas;bodas;bodas;nsubj;OTHER
Mutua y El Corte Inglés arrancan con descuentos de hasta el 20 en seguros;Mutua Corte Inglés;Mutua;nsubj;OTHER
"El riesgo de la estanflación nunca ha sido tan cierto como ahora

";estanflación;None;None;None
Los fondos de gestión activa que logran rentabilidad de dos dígitos en medio del caótico año bursátil;fondos de gestión;None;None;None
Reynés Naturgy El mundo está condenado a que los precios del gas sigan subiendo;gas;None;None;None
Las empresas piden plazos más flexibles para contratar trabajadores foráneos;empresas;empresas;nsubj;OTHER
Madrid impulsa 3000 millones de obra pública y casi dobla a Cataluña;Madrid;Madrid;nsubj;LOC
La gigafactoría de Seat supondrá 8000 millones en compras a proveedores;compras;None;None;None
La asimetría es clara los sueldos han subido un 59 desde 2016 la vivienda un 156;sueldos;sueldos;nsubj;OTHER
"La economía de la Comunidad de Madrid ha crecido este primer trimestre un 08 del PIB

Prácticamente el triple que la media nacional cuyo dato es del 03";economía;economía;nsubj;OTHER
Cuidado con los timos Las estafas en Internet no paran de crecer;estafas;None;None;None
Citi ve a Europa abocada a la recesión y cree que EEUU no tendrá fácil evitarla;Europa;Europa;obj;ORG
Las familias españolas dispondrán de 220 euros menos al mes respecto al 2021;familias;familias;nsubj;OTHER
Gentiloni descarta bloquear el gas ruso para no perjudicar demasiado a los europeos;gas;gas;obj;OTHER
Cuatro años con Sánchez España marca su récord de deuda gasto e inflación;España;None;None;None
"Enerside Energy conectará la próxima semana su cuarto parque solar en lo que va de año

Hablemos también de sus previsiones de facturación 



 San_Acost";Enerside Energy;Enerside;nsubj;ORG
"El grupo catalán Vall Companys es líder en producción avícola 

Factura en esta división 350 millones de euros anuales

Te contamos su acuerdo con la multinacional Nutreco
";factura;None;None;None
Es un fraude la cheapflación alimentaria La industria baja la calidad para vender más barato;industria;None;None;None
El Ibex frena en los 9000 mientras espera la subida de la previsión de inflación del BCE;Ibex;Ibex;nsubj;ORG
Acerinox y Aperam crearán un gigante inoxidable de 2000 millones de beneficio bruto;Acerinox Aperam;Acerinox;nsubj;OTHER
"La vacuna del covid_19 redujo un 51 las infecciones

El estudio es español 

 Ana Sánchez";infrecciones;None;None;None
"La economía sufre en este momento un número de shocks sin precedente en la historia

 danilareq";economía;economía;nsubj;OTHER
Cierre  Wall Street cierra la semana con fuertes caídas el Nasdaq 100 cae un 267;Wall Street;None;None;None
"Las pensiones contributivas de jubilación son las que se abonan a más personas en España

Han supuesto 7820 millones de euros este mes el 723 del total

Más 

 sergi_cruz";pensiones contributivas;pensiones;nsubj;OTHER
"Números de Nueva Pescanova

Facturó 1087 millones
Un 214 más
Ha duplicado su Ebitda que alcanzó los 80 millones de euros

Más ";Nueva Pescanova;None;None;None
"El unicornio español de la ciberseguridad Devo capta 94 millones de euros en una megarronda liderada por el private equity galo Eurazeo

Rocío Casado";Devo;None;None;None
"Los salarios superan los 1700 euros brutos al mes en 14 pagas

Amazon presta servicios de salud mental o jurídicos a sus empleados

Juan Ignacio Álvarez";salarios;salarios;nsubj;OTHER
Cheapflation bajar la calidad de los ingredientes para evitar subir los precios es legal;calidad;calidad;obj;OTHER
"Cierre  El Ibex 35 cierra en negativo y firma un pleno de caídas esta semana

Dato diario
022 
8724 puntos

Dato semanal
289";Ibex 35;Ibex;nsubj;MISC
" Alemania aprueba el aumento del salario mínimo hasta los 12 euros a la hora unos 2100 euros al mes a partir del 1 de octubre

Protegerá a las personas de bajos ingresos de la pobreza en la vejez";salario mínimo;None;None;None
 El Euríbor deja entrever que este mes se anotará un nuevo salto;Euríbor;Euríbor;nsubj;ORG
Despidos amenazas jornadas maratonianas de trabajo Los motivos por los que los trabajadores de Tesla y Twitter reniegan de Elon Musk;trabajadores;trabajadores;nsubj;OTHER
 Apertura  Corrección en Wall Street abre con fuertes caídas;Wall Street;None;None;None
 EEUU creó más empleos de los esperados en mayo pero el paro sigue en el 36;empleos;empleos;obj;OTHER
El Euríbor por encima del 04 en lo que va de junio;Euríbor;None;None;None
Vendidas 2000 viviendas vacacionales por menos de 100000 euros de media;viviendas;viviendas;nsubj;OTHER
" Rusia le corta el grifo de gas a Alemania y a Dinamarca

El país germano ya prepara un acopio de alimentos para diez días

 cagallegosj";gas;None;None;None
Tesla cae en la preapertura ante el megarecorte de la plantilla;Tesla;Tesla;nsubj;ORG
Atención Acerinox suspendida de cotización;Acerinox;None;None;None
La inflación en Turquía ya alcanza el 735 interanual en mayo;inflación;inflación;nsubj;OTHER
"A principios de 2019 la compañía ya recortó su plantilla en un 7

El crecimiento económico de EEUU ha disminuido en las últimas semanas";crecimiento económico;crecimiento;nsubj;OTHER
El despido en Tesla podría afectar a 10000 trabajadores en todo el mundo;trabajadores;trabajadores;obj;OTHER
"Tesla ya NO contratará 

Necesita recortar el 10 de la plantilla";plantilla;None;None;None
"Un tercio de los valores del Ibex 35 con un potencial superior al 

 CeciliaMoyaR";Ibex 35;None;None;None
"Apertura  Las bolsas europeas abren con ascensos mesurados el Ibex 35 vuelve al 8800
 
054
879150 puntos";Ibex 35;Ibex;nsubj;MISC
Cierre  Fuertes subidas en Wall Street El Nasdaq 100 se dispara un 27;Wall Street;None;None;None
"La falta de chips pasa factura a las matriculaciones de vehículos en renting

Datos 

 ankortejero";matriculaciones;matriculaciones;obj;OTHER
"Cancelaciones en TVE y aún habrá más 

 david_saiz";TVE;None;None;None
"Cierre  El Ibex 35 se derrumba a última hora y acumula cuatro jornadas cayendo

004
8744 puntos";Ibex 35;None;None;None
La financiación participativa avanza en el mercado inmobiliario;financiación;financiación;nsubj;OTHER
"EMPLEO  Alcampo busca 1000 trabajadores para verano

 Reponedor cajero mostrador y vendedor

Todos los detalles y cómo apuntarse ";trabajadores;trabajadores;obj;OTHER
