Tweet;Target;Sent_Target;Sent_Sociedad;Sent_Empresas
Iberia se hará con el 20% de Air Europa antes de que acabe el año tras recibir el visto bueno de la SEPI https://t.co/ig4AbIEjbf;Iberia;POS;POS;NEG
Locura por la ropa de Shein en Madrid: “Es todo bueno, bonito y barato” https://t.co/Q38uxrY0J2;Shein;POS;POS;NEG
Estados Unidos sigue creando empleo a toda máquina pese a la subida de tipos de interés https://t.co/Ue3A1Ax9vV;empleo;POS;POS;POS
La megafactoría de baterías de Extremadura tendrá una inversión inicial de 1.000 millones https://t.co/gC7otHE7f2;baterías Extremadura;POS;POS;POS
Vodafone ofrecerá también luz con energía 100% renovable https://t.co/1o9mMrlMN1;luz;POS;POS;NEG
El CES tacha de ineficaz y regresiva la bonificación a los combustibles https://t.co/rU5U1isDVL;combustibles;NEG;NEG;NEG
La sequía, el calor y los abonos caros recortan la cosecha de cereales https://t.co/W3G4iCCekC;cosecha cereales;NEG;NEG;NEG
Los hoteleros critican a Belarra tras anunciar que congelará los precios del Imserso https://t.co/auJvA0QOqx;precios del Imserso;NEG;NEG;NEG
El Banco de España insiste en que faltan medidas para asegurar la sostenibilidad de las pensiones https://t.co/oKGqY2UrDR;pensiones;NEG;NEG;NEG
Las matriculaciones de turismos caen un 11% en mayo por la crisis de los microchips y la incertidumbre económica https://t.co/F27s9PU1SM;turismos;NEG;NEG;NEG
Vodafone España entra en el negocio de electricidad con descuentos de hasta el 25% https://t.co/p90SVejdAy;Vodafone;POS;POS;NEG
Telefónica avanza en la búsqueda de un socio para su fibra rural https://t.co/fWRQm9w53K;Telefónica;POS;POS;NEG
La inflación no puede con las botas Dr. Martens: sube precios y eleva previsiones https://t.co/nlc4frGS9F;Dr Martens;NEG;NEG;POS
El embargo al petróleo ruso añade presión sobre los precios y ensombrece las perspectivas económicas europeas https://t.co/ZrTBt1h6MB;perspectivas económicas;NEG;NEG;NEG
Jobandtalent, la compañía española que nació delante de un café moca blanco y hoy vale 2.000 millones de euros https://t.co/Eu7uaGRsHZ;Jobandtalent;POS;POS;NEG
La galletera Siro plantea un cierre que afectará a 200 empleados en Palencia https://t.co/dYkl0hus8S;empleados Palencia;NEG;NEG;POS
Rusia se asoma al abismo de la suspensión de pagos https://t.co/6oBxdXms9K;Rusia;NEG;NEG;NEG
El langostino impulsa las ventas en Nueva Pescanova, que vuelve a beneficios https://t.co/av1LZmSyC2;Nueva Pescanova;POS;POS;NEG
Iberia inaugura su vuelo a Washington con biocombustible de Repsol https://t.co/7EgUXhDUl8;Repsol;POS;POS;NEG
Alquileres más caros: la falta de oferta de vivienda provocará en 2022 un repunte del 6% en los precios https://t.co/3t2hMqo8E4;alquileres;POS;NEG;NEG
📊 El paro baja por primera vez de los tres millones desde 2008 tras reducirse en 100.000 personas en mayo https://t.co/zZMjTefYEQ https://t.co/5KZfwQE7vc;paro;POS;POS;POS
El grupo Puig compra la firma sueca de lujo Byredo, valorada en 1.000 millones https://t.co/A1vzsO6t2k;grupo Puig;POS;POS;NEG
MásMóvil dispara un 39% sus ingresos por la integración de Euskaltel https://t.co/KYRTMt6bxt;MásMóvil;POS;POS;NEG
Gasóleo más caro, pero garantizado: así afectará a los españoles el veto al petróleo ruso https://t.co/bHUYFVnY3P;Gasóleo;NEG;NEG;NEG
Adolfo Domínguez refuerza la dirección con Antonio Puente y amplía el plan de incentivos https://t.co/2YWwJLJlC0;Adolfo Domínguez;POS;POS;NEG
Madrid es la comunidad más favorecida con la inversión estatal en la era Sánchez https://t.co/JLiSfzyl3P;Madrid;POS;POS;POS
El euríbor sube sin tregua en mayo y dispara el coste de la hipoteca media en 600 euros al año https://t.co/wSaNsM8PKV;euríbor;POS;NEG;NEG
La inflación en la zona euro supera el 8% por primera vez desde la creación de la moneda única https://t.co/u0rHT7gejS;inflación;NEG;NEG;NEG
Llegan menos turistas pero gastan más: el desembolso de los visitantes extranjeros se disparó en Semana Santa https://t.co/YoHEslYur1;desembolso extranjeros;POS;POS;POS
Orange lanza una ofensiva 'low cost' con Simyo, con tarifas convergentes desde 29 euros https://t.co/8jkIimpw4K;Orange;POS;POS;NEG
El Corte Inglés reduce su deuda en 1.010 millones con la entrada de Mutua en su capital https://t.co/Se0NN53Do8;deuda;POS;POS;NEG
La ruptura comercial con Rusia restaría hasta 2,4 puntos al PIB, según el Banco de España https://t.co/yOB0XPiyZf;PIB;NEG;NEG;NEG
La familia Jove vuelve a situarse entre los grandes del ladrillo https://t.co/cRHbkig1th;Jove;POS;POS;NEG
La ruptura total del comercio con Rusia restaría hasta un 2,1% a la economía española https://t.co/iKuYGqT31H;economía española;NEG;NEG;NEG
Cellnex confirma su interés en comprar las torres de Deutsche Telekom https://t.co/e53HbqbAN8;Cellnex;POS;POS;NEG
El déficit público se reduce en 16.000 millones en marzo por el tirón de los ingresos https://t.co/gFaltAfiYt;déficit público;POS;POS;POS
La filial financiera de Telefónica y CaixaBank cuadruplica beneficio e incorpora nuevo consejero https://t.co/J0deifZgZl;beneficio;POS;POS;NEG
El precio disparado del butano ahoga a los hogares: “En lugar de tres bombonas al mes, ahora consumo dos” https://t.co/eqLZ19gCxn;butano;POS;NEG;NEG
La inflación y la mejora de empleo y salarios disparan la recaudación de impuestos https://t.co/QXm5RnICw9;impuestos;POS;POS;POS
Crece la factura de la crisis bancaria https://t.co/K8RGIqVpgv;factura;NEG;NEG;NEG
Técnicas Reunidas coge aire tras el rescate público https://t.co/wHO2b5ErNI;Técnicas Reunidas;POS;POS;NEG
El Estado central solo ejecutó el 36% de las inversiones presupuestadas en Cataluña, mientras las duplicó en Madrid https://t.co/WAz0TzLvOI;Cataluña;NEG;NEG;NEG
Castellana Properties vuelve al club de las socimis milmillonarias https://t.co/zUP4tcSXnz;Castellana Properties;POS;POS;NEG
El sector gasista calcula que el biometano podría cubrir la tercera parte de la demanda en España https://t.co/90FSTb6pE7;biometano;POS;POS;POS
El Gobierno obligará a las empresas a no hacer esperar a sus clientes más de tres minutos al teléfono https://t.co/NwVwluOMjd;empresas;NEG;POS;NEG
El efecto divisa da un respiro a las empresas españolas más internacionalizadas (y ahoga a otras) https://t.co/jftFS8sSet;empresas españolas;POS;POS;POS
El precio de la luz sube ligeramente este lunes pero se mantiene por debajo de los 200 euros https://t.co/S3fm4lb7We;luz;POS;NEG;NEG
El complemento para prejubilados con largas carreras de cotización alcanza a casi 99.000 pensionistas https://t.co/Xidog5q3RJ;prejubilados;POS;POS;POS
Renfe invierte un millón de euros en la remodelación integral de la Sala Club de la estación de Atocha https://t.co/Gvha7QWJae;Renfe;NEG;POS;POS
El 'criptoinvierno' pone en peligro la estabilidad de las plataformas de compraventa https://t.co/Eg1SYGTxHc;plataformas de compraventa;NEG;NEG;NEG
Los visados de obra nueva aumentaron un 18,42% en el primer trimestre, con el mejor marzo desde 2009 https://t.co/AXO4E3D06b;visados de obra;POS;POS;POS
Minsait incorporará a 4.000 profesionales en España este año, lo que le permitirá consolidarse como el mayor empleador de perfiles tecnológicos del país https://t.co/UYvY58V2t5;Minsait;POS;POS;NEG
La filial brasileña de Iberdrola debutará en Latibex el próximo 7 de junio https://t.co/byQYbpei79;Iberdrola;POS;POS;NEG
El precio de la luz baja este domingo un 5% y se sitúa por debajo de los 200 euros el megavatio hora https://t.co/6FXfa5twRe;luz;NEG;POS;POS
El Ministerio de Transportes e ICO lanzan dos líneas de crédito para proyectos de movilidad sostenible https://t.co/yoqL6GVkMU https://t.co/sVmG5QQAxz;ministerio de Transportes;POS;POS;POS
"Ciudadanos rechaza la subida al 15% de pensiones no contributivas: ""No creemos que sea el momento"" https://t.co/jajGRfg0P7";pensiones;NEG;NEG;NEG
"#LoMásLeído | Las compras de Alemania a Rusia aumentaron un 59,9% hasta abril
https://t.co/BdIr5sq6sS";compras;POS;POS;POS
"#LoMásLeído | Musk planea recortar un 10% la plantilla de Tesla por un ""mal presentimiento"" sobre la economía
https://t.co/KKqqKr3AXj";plantilla Tesla;NEG;NEG;POS
"La PMP considera positiva la subida del 15% en las pensiones no contributivas
https://t.co/7P9KSNawqN";pensiones;POS;POS;POS
"La china Envision lidera un consorcio de 1.000 millones que impulsará una gigafactoría en Extremadura
https://t.co/JtxDcAPWFR";Extremadura;POS;POS;POS
"Las ventas de coches en Alemania caen un 10,2% en mayo, hasta 207.199 unidades
https://t.co/EgkmoPtzFN";venta de coches;NEG;NEG;NEG
"Allianz asumirá un impacto adverso de 400 millones tras vender el 50,1% de su negocio ruso a Interholding
https://t.co/FPI9Bmpuct";Allianz;NEG;NEG;POS
"Bristol Myers Squibb compra Turning Point Therapuetics por 3.820 millones
https://t.co/KVdAhxYJLd";Bristol Myers Squibb;POS;POS;NEG
"Empresarios iberoamericanos se comprometen a hacer una Iberoamérica más emprendedora, conectada y sostenible
https://t.co/MBwKf2G3AU";Ibeoamérica;POS;POS;POS
"La CNMC da 'luz verde' a la compra por parte de BBVA de 659 sucursales a Merlin por 2.000 millones de euros
https://t.co/4llyQqU2fd";BBVA;POS;POS;NEG
"El #Ibex35 rompe su racha de tres semanas consecutivas al alza con un retroceso del 2,3%
https://t.co/sFcC6806qa https://t.co/bFib7mCDda";#Ibex35;NEG;NEG;NEG
"Acerinox se deja más de un 3% en Bolsa tras confirmar conversaciones para una fusión con Aperam
https://t.co/DKuGOt9MgP";Acerinox;NEG;NEG;POS
"Los servicios sostienen el crecimiento en la zona euro, pero no espantan el riesgo de recesión, según PMI
https://t.co/FSZjS3LLT8";servicios;POS;POS;POS
"Iberdrola avanza en la construcción de su parque eólico marino Saint-Brieuc (Francia)
https://t.co/YihOlEPcIZ";Iberdrola;POS;POS;NEG
"Banco Santander amortizará una emisión de cédulas hipotecarias de 2.000 millones de euros
https://t.co/AjSPuZmBk5";Banco Santander;POS;POS;NEG
"Renfe estima en 305 millones de euros su ahorro para la sociedad en términos de impacto ambiental
https://t.co/KHgF7l0v7T";Renfe;POS;POS;NEG
"Escrivá asegura que la subida del 15% de las pensiones no contributivas ""tiene todo el sentido""
https://t.co/oZr20FlZOk";pensiones;POS;POS;POS
"Scope Ratings mantiene la calificación de España en 'A-' con perspectiva estable
https://t.co/x5tmx5asjR";España;POS;POS;POS
"El paro de Estados Unidos se mantiene en el 3,6% en mayo, pero se crean 390.000 empleos
https://t.co/uXWtcGJNUH";paro;NEG;NEG;NEG
"Expira el plazo regulatorio de espera para la compra de Twitter por Elon Musk
https://t.co/D0jhhnorVA";plazo;NEG;POS;POS
"El Euríbor arranca junio sobre el 0,45%, en máximos de casi ocho años
https://t.co/00njoVnq0Y";Euríbor;POS;POS;POS
"SEPI compra a los March su participación en Indra y podrá nombrar un tercer consejero
https://t.co/nNNE6q7ZJF";SEPI;POS;POS;NEG
"España (+5,3%) se desmarca de la caída de las ventas minoristas en la eurozona (-1,3%) en el mes de abril
https://t.co/7Gi1RHVLpT";España;POS;POS;POS
"El precio de la luz cae este sábado un 5% y se sitúa en los 203,86 euros/MWh
https://t.co/MSJVnzg4cV";luz;NEG;POS;POS
"CCOO denuncia a Deutsche Bank España ante la Inspección de Trabajo por el registro horario
https://t.co/2smqOfpK07";Deutsche Bank;NEG;NEG;POS
"Los cambios de compañía eléctrica aumentaron un 50% en los últimos dos años, según la CNMC
https://t.co/UhTJkqNtAj";compañía eléctrica;NEG;POS;NEG
"El #Ibex35 cotiza plano en la media sesión, sobre los 8.700 puntos
https://t.co/spQnxMffCb https://t.co/9Pj5UXtx4C";#Ibex35;NEG;NEG;NEG
"Factum, participada por Banco Santander, impulsa una nueva línea de negocio de ciberseguridad para pymes
https://t.co/eQT6lzlyie";Factum;POS;POS;NEG
"Santander y Dcoop firman un acuerdo para apoyar a más de 75.000 socios agricultores y ganaderos
https://t.co/DSyJYlr3eh";agricultores ganaderos;POS;POS;POS
"Acerinox cae más de un 4% en Bolsa tras confirmar conversaciones ""muy preliminares"" para una fusión con Aperam
https://t.co/kdDCkL4kLA";Acerinox;NEG;NEG;POS
"El número de mujeres emprendedoras superó en 2021 al de hombres por primera vez, según el informe GEM
https://t.co/rGGD0Zb1U1";mujeres emprendedoras;POS;POS;POS
"El 96% de los empleados de Vodafone España se adhiere al teletrabajo de tres días por semana
https://t.co/zH1xrnVfA3";teletrabajo;POS;POS;POS
"El precio del alquiler sube un 1,4% en mayo en España, según Idealista
https://t.co/Vje5iJeTwR";precio alquiler;POS;NEG;NEG
"Cuatroochenta aprueba una ampliación de capital de hasta 8 millones de euros
https://t.co/7CIj7DlKA0";Cuatroochenta;POS;POS;NEG
"La tasa de inflación de Turquía escala al 73,5%
https://t.co/nX7ZxZCl0S";inflación;NEG;NEG;NEG
"Las compras de Alemania a Rusia aumentaron un 59,9% hasta abril
https://t.co/BdIr5s8v4i";compras;POS;POS;POS
"La CNMV suspende la cotización de Acerinox ante una posible fusión con Aperam
https://t.co/MDShvkA97E";cotización;NEG;NEG;POS
"El #Ibex35 despierta con una subida del 0,65% hasta los 8.800 pendiente del informe de empleo de EE.UU.
https://t.co/JeXLmWl3Cs";#Ibex35;POS;POS;POS
"Fluidra abonará un dividendo bruto de 0,43 euros el próximo 5 de julio
https://t.co/j8mLmpyY79";dividendo bruto;POS;POS;POS
"#LoMásLeído | Gobierno pacta con Bildu subir pensiones no contributivas un 15% por su abstención al fondo de pensiones
https://t.co/UBNFrEkESp";pensiones;POS;POS;POS
"#LoMásLeído | El paro baja de los 3 millones por primera vez desde 2008 tras reducirse en 99.512 personas en mayo
https://t.co/FqOak23mUc https://t.co/PZ2o9EI5VD";paro;POS;POS;POS
"#LoMásLeído | El precio de la gasolina toca un nuevo máximo histórico y se 'come' ya un 75% de la subvención del Gobierno
https://t.co/dhzW4Q0RQM https://t.co/xiliPHjmzm";gasolina;POS;NEG;NEG
"Microsoft recorta previsiones trimestrales por el impacto adverso de un dólar más fuerte
https://t.co/62UnNLee2j";Microsoft;NEG;NEG;POS
"El unicornio español de la ciberseguridad Devo levanta 93 millones tras casi duplicar sus ingresos anuales
https://t.co/qeUn1dsWvm";Devo;POS;POS;NEG
El PSOE intentará rectificar en el Congreso el destope de las bases de cotización que aprobó por error https://t.co/VIg47ENVNK;PSOE;POS;POS;POS
"Iberia genera más de 9.300 millones de euros al PIB español, según un informe de PwC
https://t.co/luLAK9hJKM";Iberia;POS;POS;NEG
"El PIB de Brasil se expande un 1% en el primer trimestre
https://t.co/kMnvlrK4mI";PIB;POS;POS;POS
"SEPI y el sindicado bancario aprueban el préstamo de 100 millones de Iberia a Air Europa
https://t.co/cGwQv9Qop1";Air Europa;POS;POS;NEG
"La OPEP+ bombeará un 50% más de petróleo en verano con Rusia y Arabia Saudí como principales productores
https://t.co/ce73UBbSQv";OPEP+;POS;POS;POS
"Ikea abrirá una tienda de 7.500 metros cuadrados en Parque Corredor (Madrid) con 180 empleos
https://t.co/ulLsQwwpF8";Ikea;POS;POS;NEG
"Galería Canalejas reabre sus puertas con tres plantas dedicadas a la moda, al lujo y a la gastronomía
https://t.co/Pc0SrBT96n";Galería Canalejas;POS;POS;NEG
"Unión de Uniones advierte de que las altas temperaturas provocan la pérdida del 20% en la cosecha de cereales
https://t.co/uTJcVyfaVn";cosecha cereales;NEG;NEG;NEG
"Renfe recibe el interés de 30 empresas para aliarse con su filial de Mercancías
https://t.co/QJiO3Dk8Yl";Renfe;POS;POS;NEG
"El Gobierno pacta con Bildu su abstención en la ley de planes de pensiones a cambio de subir un 15% las no contributivas
https://t.co/UBNFrEkESp";pensiones;POS;POS;POS
"Nueva Pescanova supera los 1.000 millones de facturación en 2021, más que antes de la pandemia, y duplica beneficios
https://t.co/KQFe1XFQik";Pescanova;POS;POS;NEG
"Funcas destaca que la afiliación encadena dos meses de ""fuerte crecimiento"", pese al fin de los ERTE
https://t.co/QyIuKFQRCQ";afiliación;POS;POS;POS
"Saitec inicia los trámites para instalar un parque eólico flotante piloto en aguas de la Costa Brava
https://t.co/yWmOCsu7ta";Saitec;POS;POS;NEG
"El #Ibex35 cierra la sesión prácticamente plano frente a los índices europeos, que finalizan con aumentos
https://t.co/mUhNLA65a5 https://t.co/5bpHl2JLos";#Ibex35;NEG;NEG;NEG
"CEOE y Cepyme ven positivos los datos del paro pero alertan sobre la creación de falsas expectativas
https://t.co/YSJeWfrZMu";paro;POS;POS;POS
"El Congreso destopa las bases máximas de cotización por un error del PSOE
https://t.co/8JJ471RSj8";PSOE;NEG;NEG;NEG
"Maroto celebra el papel ""activo"" del turismo en la recuperación económica de España
https://t.co/AYPBJQWtOq";turismo;POS;POS;POS
"El Gobierno salva su ley de planes de pensiones con apoyo de PNV y PRC, y la abstención de Vox y Bildu
https://t.co/zW0NxyP8gh";Gobierno;POS;POS;POS
"Trabajo prevé que el paro siga reduciéndose en los próximos meses y destaca el efecto de la reforma laboral
https://t.co/AjPtyAEodm";paro;POS;POS;POS
"El bono español a 10 años rinde a su mayor nivel desde mediados de 2015, superando el 2,3%
https://t.co/8KXDGofVVY";bono español;POS;POS;POS
"OHLA prevé crecer a un ritmo de dos concesiones al año a pesar de la incertidumbre económica
https://t.co/5ZzXvgbZ82";OHLA;POS;POS;NEG
"SIA (Indra) adquiere la extremeña Mobeel para crecer en identidad digital
https://t.co/RanDa8BkHV";SIA;POS;POS;NEG
"La mitad de consumidores españoles tiene en cuenta la sostenibilidad a la hora de realizar sus compras, según un estudio
https://t.co/bAzfsMDukv";sostenibilidad;POS;POS;POS
"S&amp;P rebaja el rating de El Salvador y advierte de las vulnerabilidades financieras y de deuda del país
https://t.co/jfQiYj6gbR";rating;POS;POS;POS
"Ucrania sube tipos al 25% en la primera intervención del banco central desde la invasión rusa
https://t.co/1AmZolBvRi";tipos;POS;NEG;NEG
"Empleados de Repsol adquieren 134.064 acciones de la compañía como parte del plan de incentivos
https://t.co/pR7MxLPkXA";empleados Repsol;POS;POS;NEG
"Díaz replica al Banco de España que la mayoría de pensiones no llega a mil euros y defiende subirlas al IPC
https://t.co/aXzqKDPvxb";pensiones;NEG;NEG;NEG
"El empleo en el sector fintech en España creció un 210% en el primer trimestre del año, según un informe
https://t.co/mHc2jw4PDS";empleo;POS;POS;POS
"La demanda eléctrica baja en España un 0,4% en mayo, según Red Eléctrica
https://t.co/3ReC8pfyNu";eléctrica;POS;POS;POS
"El Tesoro coloca 4.761 millones y eleva el interés del bono a 10 años por encima del 2,1%
https://t.co/r1GMUb242n";interés;POS;POS;POS
"Repsol invertirá 105 millones en construir en Puertollano una fábrica pionera en España de 'super polímero'
https://t.co/S0RfrgIu3J";Repsol;POS;POS;NEG
"La industria de la moda duplicará sus inversiones tecnológicas para el 2030 #GO
https://t.co/OsGnmNMK3l";industria moda;POS;POS;NEG
"El Abogado General del TUE exime de responsabilidad a Amazon por la venta de productos falsificados
https://t.co/nxIe0mJXHQ";Amazon;POS;POS;NEG
"Renfe adjudica a Acciona y Clece la limpieza de los trenes por 243 millones de euros
https://t.co/XNvufFxNBI";Acciona Clece;POS;POS;NEG
"Díaz celebra los ""cambios intensos y rápidos"" en la calidad del empleo tras la reforma laboral
https://t.co/s4CUv1GEQi";empleo;POS;POS;POS
"El precio de la luz cae ligeramente este viernes, pero se mantiene por encima de los 214 euros/MWh
https://t.co/xNMRajf1ET";luz;NEG;POS;POS
"UGT defiende que la mejora del empleo ""exige una subida generalizada de los salarios""
https://t.co/69YBcDtrNr";salarios;POS;POS;NEG
"USO lamenta que se cree empleo ""débil"" y que el crecimiento sea a distintas velocidades
https://t.co/YSkJ0oEVxf";empleo;NEG;NEG;NEG
"ATA ve positivos los datos del paro, pero destaca el frenazo en el número de nuevos autónomos
https://t.co/zSSLpdtDf4";paro;POS;POS;POS
"La inflación de la OCDE se disparó en abril al 9,2%, en máximos de 34 años
https://t.co/RSUm6tsFWx";inflación;NEG;NEG;NEG
"El #Ibex35 avanza sobre los 8.700 puntos (+0,21%) en la media sesión
https://t.co/RllUT2NRli https://t.co/oWhEQtqeYu";#Ibex35;POS;POS;POS
"Las ampliaciones de capital caen un 76% en abril y dejan el acumulado con una caída superior al 36%
https://t.co/P7UKK2N5vd";capital;NEG;NEG;NEG
"Los precios industriales de la eurozona registraron en abril una subida récord del 37,2%
https://t.co/24gDUxxEoL";precios industriales;POS;NEG;NEG
"El 20% de las gasolineras se encuentra en riesgo de impago, según Iberinform
https://t.co/V4GD4tQeTL";gasolineras;NEG;NEG;POS
"Sánchez celebra los datos y destaca que hay menos de tres millones de parados por primera vez desde 2008
https://t.co/qomuZ2Ilwv";parados;POS;POS;POS
"Montero dice que es un ""magnífico"" dato y destaca que la economía es ""robusta y sigue creciendo""
https://t.co/NFVZ1Gc2qn";economía;POS;POS;POS
"🔴 #ÚLTIMAHORA | El precio de la gasolina toca un nuevo máximo histórico y se 'come' ya un 75% de la subvención del Gobierno
https://t.co/Qb3YgDn39C";gasolina;POS;NEG;NEG
"Escrivá pone en valor el alza de afiliados ""en un contexto de incertidumbre e inflación persistente""
https://t.co/4dcUTyCa5a";afiliados;POS;POS;POS
"La tecnológica AtSistemas saldrá a bolsa antes de que termine el año
https://t.co/nEPIk5qkDY";AtSistemas;POS;POS;NEG
"Toshiba recibe diez propuestas de inversión, incluyendo ocho para excluir de cotización la empresa
https://t.co/jXnTpV72ZQ";Toshiba;POS;POS;NEG
"Las ejecuciones hipotecarias sobre viviendas habituales suben un 3,4% interanual en el primer trimestre
https://t.co/WtL28slbeE";ejecuciones hipotecarias;POS;POS;POS
"El #Ibex35 amanece con una subida del 0,43% y se aferra a los 8.700 enteros, con el crudo a la baja
https://t.co/QqCIzdmEah";#Ibex35;POS;POS;POS
"🔴#ÚLTIMAHORA | La Seguridad Social registra su mejor mayo desde 2018 al ganar 213.643 afiliados
https://t.co/4tBjTVswGb";Seguridad Social;POS;POS;POS
"🔴#ÚLTIMAHORA | El paro baja de los 3 millones por primera vez desde 2008 tras reducirse en 99.512 personas en mayo
https://t.co/JJm78NmHRJ";paro;POS;POS;POS
"Sánchez recalca el ""crecimiento económico"" de España en la reunión con el presidente de Investcorp y llama a invertir https://t.co/St3gefsp14";económico;POS;POS;POS
"#LoMásLeído | Garzón avanza que el Gobierno estudia hacer más selectiva la bonificación al combustible
https://t.co/m1fuLtEIeJ";Gobierno;POS;NEG;NEG
"#LoMásLeído | El Tribunal de la UE avala la disolución de Banco Popular y rechaza devolver el dinero a los accionistas
https://t.co/zFKFYsVKCa https://t.co/DL0H95HReJ";accionistas;NEG;NEG;NEG
"#LoMásLeído | La actividad manufacturera de España repuntó en mayo, pero no despeja las sombras de estanflación, según PMI
https://t.co/juZIVtcwGQ";actividad manufacturera;POS;POS;POS
"Los fabricantes añadirían 800.000 millones a su valor de mercado con una electrificación más rápida
https://t.co/fcPWzdWwOM";fabricantes;POS;POS;POS
"Pfizer venderá su participación del 32% en Haleon, la 'joint venture' con GSK
https://t.co/HTZUnpv8rW";Pfizer;NEG;NEG;POS
"El consumo de energía fotovoltaica de autoconsumo se ha quintuplicado desde 2019, según estudio
https://t.co/UGdczTB48D";energía fotovoltaica;POS;POS;POS
"Prologis invierte 60 millones de euros en un nuevo centro logístico en Madrid
https://t.co/b03CV6R4D1";centro logístico;POS;POS;NEG
"AliExpress abre su octava tienda física en España con la apertura en La Gavia (Madrid)
https://t.co/d1kezYPLrO";Aliexpress;POS;POS;NEG
"El mundo debe invertir más de 3 billones al año para cumplir la meta de emisiones cero en 2050, según FMI
https://t.co/DQqF5y98cz";mundo;NEG;NEG;NEG
Banco de España rebajará la próxima semana su previsión de PIB en unas décimas y ligeramente la inflación https://t.co/rjAPQBjanj;Banco de España;POS;POS;POS
"Los fondos de inversión registran en mayo suscripciones netas positivas de 1.200 millones de euros
https://t.co/9nhnPMwtX1";fondos de inversión;POS;POS;POS
"La cosecha de cereales de invierno sufrirá un recorte del 21% esta campaña, según Asaja
https://t.co/9atCBKCelq";cosecha cereales;NEG;NEG;POS
"El laboratorio de microchips de Intel y BSC creará 300 empleos ""altamente cualificados""
https://t.co/dyg59VhNaK";empleos;POS;POS;POS
"El BCE evalúa positivamente a Croacia de cara a la adopción del euro en 2023
https://t.co/Iqf5K7ozQK";Croacia;POS;POS;POS
"Evo Banco lanza una oferta de inversión indexada y reduce sus tarifas al ""mínimo histórico""
https://t.co/oJ7rTDzb2m";Evo Banco;POS;POS;NEG
