Tweet;Target;Sent_Target;Sent_Sociedad;Sent_Empresas;tweet_clean
Estados Unidos sigue creando empleo a toda máquina pese a la subida de tipos de interés https://t.co/Ue3A1Ax9vV;empleo;POS;POS;POS;unidos sigue creando empleo toda máquina pese subida tipos interés
La megafactoría de baterías de Extremadura tendrá una inversión inicial de 1.000 millones https://t.co/gC7otHE7f2;baterías Extremadura;POS;POS;POS;megafactoría baterías extremadura inversión inicial millones
Vodafone ofrecerá también luz con energía 100% renovable https://t.co/1o9mMrlMN1;luz;POS;POS;NEG;vodafone ofrecerá luz energía renovable
El CES tacha de ineficaz y regresiva la bonificación a los combustibles https://t.co/rU5U1isDVL;combustibles;NEG;NEG;NEG;ce tacha ineficaz regresiva bonificación combustible
La sequía, el calor y los abonos caros recortan la cosecha de cereales https://t.co/W3G4iCCekC;cosecha cereales;NEG;NEG;NEG;sequía calor abonos caros recortan cosecha cereales
Los hoteleros critican a Belarra tras anunciar que congelará los precios del Imserso https://t.co/auJvA0QOqx;precios del Imserso;NEG;NEG;NEG;hoteleros critican belarra tras anunciar congelará precios imserso
El Banco de España insiste en que faltan medidas para asegurar la sostenibilidad de las pensiones https://t.co/oKGqY2UrDR;pensiones;NEG;NEG;NEG;banco españa insiste faltan medidas asegurar sostenibilidad pensiones
Las matriculaciones de turismos caen un 11% en mayo por la crisis de los microchips y la incertidumbre económica https://t.co/F27s9PU1SM;turismos;NEG;NEG;NEG;matriculaciones turismos caen mayo crisis microchip incertidumbre económica
Vodafone España entra en el negocio de electricidad con descuentos de hasta el 25% https://t.co/p90SVejdAy;Vodafone;POS;POS;NEG;vodafone españa entra negocio electricidad descuentos
Telefónica avanza en la búsqueda de un socio para su fibra rural https://t.co/fWRQm9w53K;Telefónica;POS;POS;NEG;telefónica avanza búsqueda socio fibra rural
La inflación no puede con las botas Dr. Martens: sube precios y eleva previsiones https://t.co/nlc4frGS9F;Dr Martens;NEG;NEG;POS;inflación puede bota dr marten sube precios eleva previsiones
El embargo al petróleo ruso añade presión sobre los precios y ensombrece las perspectivas económicas europeas https://t.co/ZrTBt1h6MB;perspectivas económicas;NEG;NEG;NEG;embargo petróleo ruso añade presión precios ensombrece perspectivas económicas europeas
Jobandtalent, la compañía española que nació delante de un café moca blanco y hoy vale 2.000 millones de euros https://t.co/Eu7uaGRsHZ;Jobandtalent;POS;POS;NEG;jobandtalent compañía española nació delante café moca blanco hoy vale millones euro
La galletera Siro plantea un cierre que afectará a 200 empleados en Palencia https://t.co/dYkl0hus8S;empleados Palencia;NEG;NEG;POS;galletera siro plantea cierre afectará empleados palencia
Rusia se asoma al abismo de la suspensión de pagos https://t.co/6oBxdXms9K;Rusia;NEG;NEG;NEG;rusia asoma abismo suspensión pagos
El langostino impulsa las ventas en Nueva Pescanova, que vuelve a beneficios https://t.co/av1LZmSyC2;Nueva Pescanova;POS;POS;NEG;langostino impulsa ventas nueva pescanova vuelve beneficios
Iberia inaugura su vuelo a Washington con biocombustible de Repsol https://t.co/7EgUXhDUl8;Repsol;POS;POS;NEG;iberia inaugura vuelo washington biocombustible repsol
Alquileres más caros: la falta de oferta de vivienda provocará en 2022 un repunte del 6% en los precios https://t.co/3t2hMqo8E4;alquileres;POS;NEG;NEG;alquileres caros falta oferta vivienda provocará repunte precios
📊 El paro baja por primera vez de los tres millones desde 2008 tras reducirse en 100.000 personas en mayo https://t.co/zZMjTefYEQ https://t.co/5KZfwQE7vc;paro;POS;POS;POS;paro baja primera vez tres millones tras reducirse persona mayo
El grupo Puig compra la firma sueca de lujo Byredo, valorada en 1.000 millones https://t.co/A1vzsO6t2k;grupo Puig;POS;POS;NEG;grupo puig compra firma sueca lujo byredo valorada millones
MásMóvil dispara un 39% sus ingresos por la integración de Euskaltel https://t.co/KYRTMt6bxt;MásMóvil;POS;POS;NEG;másmóvil dispara ingresos integración euskaltel
Gasóleo más caro, pero garantizado: así afectará a los españoles el veto al petróleo ruso https://t.co/bHUYFVnY3P;Gasóleo;NEG;NEG;NEG;gasóleo caro garantizado así afectará españoles veto petróleo ruso
Adolfo Domínguez refuerza la dirección con Antonio Puente y amplía el plan de incentivos https://t.co/2YWwJLJlC0;Adolfo Domínguez;POS;POS;NEG;adolfo domínguez refuerza dirección antonio puente amplía plan incentivos
Madrid es la comunidad más favorecida con la inversión estatal en la era Sánchez https://t.co/JLiSfzyl3P;Madrid;POS;POS;POS;madrid comunidad favorecida inversión estatal sánchez
El euríbor sube sin tregua en mayo y dispara el coste de la hipoteca media en 600 euros al año https://t.co/wSaNsM8PKV;euríbor;POS;NEG;NEG;euríbor sube tregua mayo dispara coste hipoteca medium euro año
La inflación en la zona euro supera el 8% por primera vez desde la creación de la moneda única https://t.co/u0rHT7gejS;inflación;NEG;NEG;NEG;inflación zona euro supera primera vez creación moneda única
Llegan menos turistas pero gastan más: el desembolso de los visitantes extranjeros se disparó en Semana Santa https://t.co/YoHEslYur1;desembolso extranjeros;POS;POS;POS;llegan menos turistas gastan desembolso visitantes extranjeros disparó semana santa
Orange lanza una ofensiva 'low cost' con Simyo, con tarifas convergentes desde 29 euros https://t.co/8jkIimpw4K;Orange;POS;POS;NEG;orange lanza ofensiva low cost simyo tarifas convergentes euro
El Corte Inglés reduce su deuda en 1.010 millones con la entrada de Mutua en su capital https://t.co/Se0NN53Do8;deuda;POS;POS;NEG;corte inglés reduce deuda millones entrada mutua capital
La ruptura comercial con Rusia restaría hasta 2,4 puntos al PIB, según el Banco de España https://t.co/yOB0XPiyZf;PIB;NEG;NEG;NEG;ruptura comercial rusia restaría puntos pib según banco españa
La familia Jove vuelve a situarse entre los grandes del ladrillo https://t.co/cRHbkig1th;Jove;POS;POS;NEG;familia jove vuelve situarse grandes ladrillo
La ruptura total del comercio con Rusia restaría hasta un 2,1% a la economía española https://t.co/iKuYGqT31H;economía española;NEG;NEG;NEG;ruptura total comercio rusia restaría economía española
Cellnex confirma su interés en comprar las torres de Deutsche Telekom https://t.co/e53HbqbAN8;Cellnex;POS;POS;NEG;cellnex confirma interés comprar torres deutsche telekom
El déficit público se reduce en 16.000 millones en marzo por el tirón de los ingresos https://t.co/gFaltAfiYt;déficit público;POS;POS;POS;déficit público reduce millones marzo tirón ingresos
La filial financiera de Telefónica y CaixaBank cuadruplica beneficio e incorpora nuevo consejero https://t.co/J0deifZgZl;beneficio;POS;POS;NEG;filial financiera telefónica caixabank cuadruplica beneficio incorpora nuevo consejero
El precio disparado del butano ahoga a los hogares: “En lugar de tres bombonas al mes, ahora consumo dos” https://t.co/eqLZ19gCxn;butano;POS;NEG;NEG;precio disparado butano ahoga hogares lugar tres bombonas me ahora consumo do
La inflación y la mejora de empleo y salarios disparan la recaudación de impuestos https://t.co/QXm5RnICw9;impuestos;POS;POS;POS;inflación mejora empleo salarios disparan recaudación impuestos
Crece la factura de la crisis bancaria https://t.co/K8RGIqVpgv;factura;NEG;NEG;NEG;crece factura crisis bancaria
Técnicas Reunidas coge aire tras el rescate público https://t.co/wHO2b5ErNI;Técnicas Reunidas;POS;POS;NEG;técnicas reunidas coge aire tras rescate público
El Estado central solo ejecutó el 36% de las inversiones presupuestadas en Cataluña, mientras las duplicó en Madrid https://t.co/WAz0TzLvOI;Cataluña;NEG;NEG;NEG;central solo ejecutó inversiones presupuestadas cataluña mientras duplicó madrid
Castellana Properties vuelve al club de las socimis milmillonarias https://t.co/zUP4tcSXnz;Castellana Properties;POS;POS;NEG;castellana property vuelve club socimis milmillonarias
El sector gasista calcula que el biometano podría cubrir la tercera parte de la demanda en España https://t.co/90FSTb6pE7;biometano;POS;POS;POS;sector gasista calcula biometano podría cubrir tercera parte demanda españa
El Gobierno obligará a las empresas a no hacer esperar a sus clientes más de tres minutos al teléfono https://t.co/NwVwluOMjd;empresas;NEG;POS;NEG;gobierno obligará empresas hacer esperar clientes tres minutos teléfono
El efecto divisa da un respiro a las empresas españolas más internacionalizadas (y ahoga a otras) https://t.co/jftFS8sSet;empresas españolas;POS;POS;POS;efecto divisa da respiro empresas españolas internacionalizadas ahoga
El precio de la luz sube ligeramente este lunes pero se mantiene por debajo de los 200 euros https://t.co/S3fm4lb7We;luz;POS;NEG;NEG;precio luz sube ligeramente lunes mantiene debajo euro
El complemento para prejubilados con largas carreras de cotización alcanza a casi 99.000 pensionistas https://t.co/Xidog5q3RJ;prejubilados;POS;POS;POS;complemento prejubilados largas carreras cotización alcanza casi pensionistas
Renfe invierte un millón de euros en la remodelación integral de la Sala Club de la estación de Atocha https://t.co/Gvha7QWJae;Renfe;NEG;POS;POS;renfe invierte millón euro remodelación integral sala club estación atocha
El 'criptoinvierno' pone en peligro la estabilidad de las plataformas de compraventa https://t.co/Eg1SYGTxHc;plataformas de compraventa;NEG;NEG;NEG;criptoinvierno pone peligro estabilidad plataformas compraventa
Los visados de obra nueva aumentaron un 18,42% en el primer trimestre, con el mejor marzo desde 2009 https://t.co/AXO4E3D06b;visados de obra;POS;POS;POS;visados obra nueva aumentaron primer trimestre mejor marzo
Minsait incorporará a 4.000 profesionales en España este año, lo que le permitirá consolidarse como el mayor empleador de perfiles tecnológicos del país https://t.co/UYvY58V2t5;Minsait;POS;POS;NEG;minsait incorporará profesionales españa año permitirá consolidarse mayor empleador perfiles tecnológicos país
La filial brasileña de Iberdrola debutará en Latibex el próximo 7 de junio https://t.co/byQYbpei79;Iberdrola;POS;POS;NEG;filial brasileña iberdrola debutará latibex próximo junio
El precio de la luz baja este domingo un 5% y se sitúa por debajo de los 200 euros el megavatio hora https://t.co/6FXfa5twRe;luz;NEG;POS;POS;precio luz baja domingo sitúa debajo euro megavatio hora
El Ministerio de Transportes e ICO lanzan dos líneas de crédito para proyectos de movilidad sostenible https://t.co/yoqL6GVkMU https://t.co/sVmG5QQAxz;ministerio de Transportes;POS;POS;POS;ministerio transportes ico lanzan do líneas crédito proyectos movilidad sostenible
"Ciudadanos rechaza la subida al 15% de pensiones no contributivas: ""No creemos que sea el momento"" https://t.co/jajGRfg0P7";pensiones;NEG;NEG;NEG;ciudadanos rechaza subida pensiones contributivas creemos momento
"#LoMásLeído | Las compras de Alemania a Rusia aumentaron un 59,9% hasta abril
https://t.co/BdIr5sq6sS";compras;POS;POS;POS;lomásleído compras alemania rusia aumentaron abril
"#LoMásLeído | Musk planea recortar un 10% la plantilla de Tesla por un ""mal presentimiento"" sobre la economía
https://t.co/KKqqKr3AXj";plantilla Tesla;NEG;NEG;POS;lomásleído musk planea recortar plantilla tesla mal presentimiento economía
"La PMP considera positiva la subida del 15% en las pensiones no contributivas
https://t.co/7P9KSNawqN";pensiones;POS;POS;POS;pmp considera positiva subida pensiones contributivas
"La china Envision lidera un consorcio de 1.000 millones que impulsará una gigafactoría en Extremadura
https://t.co/JtxDcAPWFR";Extremadura;POS;POS;POS;china envision lidera consorcio millones impulsará gigafactoría extremadura
"Las ventas de coches en Alemania caen un 10,2% en mayo, hasta 207.199 unidades
https://t.co/EgkmoPtzFN";venta de coches;NEG;NEG;NEG;ventas coches alemania caen mayo unidades
"Allianz asumirá un impacto adverso de 400 millones tras vender el 50,1% de su negocio ruso a Interholding
https://t.co/FPI9Bmpuct";Allianz;NEG;NEG;POS;allianz asumirá impacto adverso millones tras vender negocio ruso interholding
"Bristol Myers Squibb compra Turning Point Therapuetics por 3.820 millones
https://t.co/KVdAhxYJLd";Bristol Myers Squibb;POS;POS;NEG;bristol myers squibb compra turning point therapuetics millones
"Empresarios iberoamericanos se comprometen a hacer una Iberoamérica más emprendedora, conectada y sostenible
https://t.co/MBwKf2G3AU";Ibeoamérica;POS;POS;POS;empresarios iberoamericanos comprometen hacer iberoamérica emprendedora conectada sostenible
"La CNMC da 'luz verde' a la compra por parte de BBVA de 659 sucursales a Merlin por 2.000 millones de euros
https://t.co/4llyQqU2fd";BBVA;POS;POS;NEG;cnmc da luz verde compra parte bbva sucursales merlin millones euro
"El #Ibex35 rompe su racha de tres semanas consecutivas al alza con un retroceso del 2,3%
https://t.co/sFcC6806qa https://t.co/bFib7mCDda";#Ibex35;NEG;NEG;NEG;ibex rompe racha tres semanas consecutivas alza retroceso
"Acerinox se deja más de un 3% en Bolsa tras confirmar conversaciones para una fusión con Aperam
https://t.co/DKuGOt9MgP";Acerinox;NEG;NEG;POS;acerinox deja bolsa tras confirmar conversaciones fusión aperam
"Los servicios sostienen el crecimiento en la zona euro, pero no espantan el riesgo de recesión, según PMI
https://t.co/FSZjS3LLT8";servicios;POS;POS;POS;servicios sostienen crecimiento zona euro espantan riesgo recesión según pmi
"Iberdrola avanza en la construcción de su parque eólico marino Saint-Brieuc (Francia)
https://t.co/YihOlEPcIZ";Iberdrola;POS;POS;NEG;iberdrola avanza construcción parque eólico marino saintbrieuc francia
"Banco Santander amortizará una emisión de cédulas hipotecarias de 2.000 millones de euros
https://t.co/AjSPuZmBk5";Banco Santander;POS;POS;NEG;banco santander amortizará emisión cédulas hipotecarias millones euro
"Renfe estima en 305 millones de euros su ahorro para la sociedad en términos de impacto ambiental
https://t.co/KHgF7l0v7T";Renfe;POS;POS;NEG;renfe estima millones euro ahorro sociedad términos impacto ambiental
"Escrivá asegura que la subida del 15% de las pensiones no contributivas ""tiene todo el sentido""
https://t.co/oZr20FlZOk";pensiones;POS;POS;POS;escrivá asegura subida pensiones contributivas
"Scope Ratings mantiene la calificación de España en 'A-' con perspectiva estable
https://t.co/x5tmx5asjR";España;POS;POS;POS;scope rating mantiene calificación españa perspectiva estable
"El paro de Estados Unidos se mantiene en el 3,6% en mayo, pero se crean 390.000 empleos
https://t.co/uXWtcGJNUH";paro;NEG;NEG;NEG;paro unidos mantiene mayo crean empleos
"Expira el plazo regulatorio de espera para la compra de Twitter por Elon Musk
https://t.co/D0jhhnorVA";plazo;NEG;POS;POS;expira plazo regulatorio espera compra twitter elon musk
"El Euríbor arranca junio sobre el 0,45%, en máximos de casi ocho años
https://t.co/00njoVnq0Y";Euríbor;POS;POS;POS;euríbor arranca junio máximos casi ocho años
"SEPI compra a los March su participación en Indra y podrá nombrar un tercer consejero
https://t.co/nNNE6q7ZJF";SEPI;POS;POS;NEG;sepi compra march participación indra podrá nombrar tercer consejero
"España (+5,3%) se desmarca de la caída de las ventas minoristas en la eurozona (-1,3%) en el mes de abril
https://t.co/7Gi1RHVLpT";España;POS;POS;POS;españa desmarca caída ventas minoristas eurozona me abril
"El precio de la luz cae este sábado un 5% y se sitúa en los 203,86 euros/MWh
https://t.co/MSJVnzg4cV";luz;NEG;POS;POS;precio luz cae sábado sitúa eurosmwh
"CCOO denuncia a Deutsche Bank España ante la Inspección de Trabajo por el registro horario
https://t.co/2smqOfpK07";Deutsche Bank;NEG;NEG;POS;ccoo denuncia deutsche bank españa inspección trabajo registro horario
"Los cambios de compañía eléctrica aumentaron un 50% en los últimos dos años, según la CNMC
https://t.co/UhTJkqNtAj";compañía eléctrica;NEG;POS;NEG;cambios compañía eléctrica aumentaron últimos do años según cnmc
"El #Ibex35 cotiza plano en la media sesión, sobre los 8.700 puntos
https://t.co/spQnxMffCb https://t.co/9Pj5UXtx4C";#Ibex35;NEG;NEG;NEG;ibex cotiza plano medium sesión puntos
"Factum, participada por Banco Santander, impulsa una nueva línea de negocio de ciberseguridad para pymes
https://t.co/eQT6lzlyie";Factum;POS;POS;NEG;factum participada banco santander impulsa nueva línea negocio ciberseguridad pymes
"Santander y Dcoop firman un acuerdo para apoyar a más de 75.000 socios agricultores y ganaderos
https://t.co/DSyJYlr3eh";agricultores ganaderos;POS;POS;POS;santander dcoop firman acuerdo apoyar socios agricultores ganaderos
"Acerinox cae más de un 4% en Bolsa tras confirmar conversaciones ""muy preliminares"" para una fusión con Aperam
https://t.co/kdDCkL4kLA";Acerinox;NEG;NEG;POS;acerinox cae bolsa tras confirmar conversaciones preliminares fusión aperam
"El número de mujeres emprendedoras superó en 2021 al de hombres por primera vez, según el informe GEM
https://t.co/rGGD0Zb1U1";mujeres emprendedoras;POS;POS;POS;número mujeres emprendedoras superó hombre primera vez según informe gem
"El 96% de los empleados de Vodafone España se adhiere al teletrabajo de tres días por semana
https://t.co/zH1xrnVfA3";teletrabajo;POS;POS;POS;empleados vodafone españa adhiere teletrabajo tres días semana
"El precio del alquiler sube un 1,4% en mayo en España, según Idealista
https://t.co/Vje5iJeTwR";precio alquiler;POS;NEG;NEG;precio alquiler sube mayo españa según idealista
"Cuatroochenta aprueba una ampliación de capital de hasta 8 millones de euros
https://t.co/7CIj7DlKA0";Cuatroochenta;POS;POS;NEG;cuatroochenta aprueba ampliación capital millones euro
"La tasa de inflación de Turquía escala al 73,5%
https://t.co/nX7ZxZCl0S";inflación;NEG;NEG;NEG;tasa inflación turquía escala
"Las compras de Alemania a Rusia aumentaron un 59,9% hasta abril
https://t.co/BdIr5s8v4i";compras;POS;POS;POS;compras alemania rusia aumentaron abril
"La CNMV suspende la cotización de Acerinox ante una posible fusión con Aperam
https://t.co/MDShvkA97E";cotización;NEG;NEG;POS;cnmv suspende cotización acerinox posible fusión aperam
"El #Ibex35 despierta con una subida del 0,65% hasta los 8.800 pendiente del informe de empleo de EE.UU.
https://t.co/JeXLmWl3Cs";#Ibex35;POS;POS;POS;ibex despierta subida pendiente informe empleo eeuu
"Fluidra abonará un dividendo bruto de 0,43 euros el próximo 5 de julio
https://t.co/j8mLmpyY79";dividendo bruto;POS;POS;POS;fluidra abonará dividendo bruto euro próximo julio
"#LoMásLeído | Gobierno pacta con Bildu subir pensiones no contributivas un 15% por su abstención al fondo de pensiones
https://t.co/UBNFrEkESp";pensiones;POS;POS;POS;lomásleído gobierno pacta bildu subir pensiones contributivas abstención fondo pensiones
"#LoMásLeído | El paro baja de los 3 millones por primera vez desde 2008 tras reducirse en 99.512 personas en mayo
https://t.co/FqOak23mUc https://t.co/PZ2o9EI5VD";paro;POS;POS;POS;lomásleído paro baja millones primera vez tras reducirse persona mayo
"#LoMásLeído | El precio de la gasolina toca un nuevo máximo histórico y se 'come' ya un 75% de la subvención del Gobierno
https://t.co/dhzW4Q0RQM https://t.co/xiliPHjmzm";gasolina;POS;NEG;NEG;lomásleído precio gasolina toca nuevo máximo histórico come subvención gobierno
"Microsoft recorta previsiones trimestrales por el impacto adverso de un dólar más fuerte
https://t.co/62UnNLee2j";Microsoft;NEG;NEG;POS;microsoft recorta previsiones trimestrales impacto adverso dólar fuerte
"El unicornio español de la ciberseguridad Devo levanta 93 millones tras casi duplicar sus ingresos anuales
https://t.co/qeUn1dsWvm";Devo;POS;POS;NEG;unicornio español ciberseguridad devo levanta millones tras casi duplicar ingresos anuales
El PSOE intentará rectificar en el Congreso el destope de las bases de cotización que aprobó por error https://t.co/VIg47ENVNK;PSOE;POS;POS;POS;psoe intentará rectificar congreso destope base cotización aprobó error
"Iberia genera más de 9.300 millones de euros al PIB español, según un informe de PwC
https://t.co/luLAK9hJKM";Iberia;POS;POS;NEG;iberia genus millones euro pib español según informe pwc
"El PIB de Brasil se expande un 1% en el primer trimestre
https://t.co/kMnvlrK4mI";PIB;POS;POS;POS;pib brasil expande primer trimestre
"SEPI y el sindicado bancario aprueban el préstamo de 100 millones de Iberia a Air Europa
https://t.co/cGwQv9Qop1";Air Europa;POS;POS;NEG;sepi sindicado bancario aprueban préstamo millones iberia air europa
"La OPEP+ bombeará un 50% más de petróleo en verano con Rusia y Arabia Saudí como principales productores
https://t.co/ce73UBbSQv";OPEP+;POS;POS;POS;opep bombeará petróleo verano rusia arabia saudí principales productores
"Ikea abrirá una tienda de 7.500 metros cuadrados en Parque Corredor (Madrid) con 180 empleos
https://t.co/ulLsQwwpF8";Ikea;POS;POS;NEG;ikea abrirá tienda metro cuadrados parque corredor madrid empleos
"Galería Canalejas reabre sus puertas con tres plantas dedicadas a la moda, al lujo y a la gastronomía
https://t.co/Pc0SrBT96n";Galería Canalejas;POS;POS;NEG;galería canalejas reabre puertas tres plantas dedicadas moda lujo gastronomía
"Unión de Uniones advierte de que las altas temperaturas provocan la pérdida del 20% en la cosecha de cereales
https://t.co/uTJcVyfaVn";cosecha cereales;NEG;NEG;NEG;unión uniones advierte altas temperaturas provocan pérdida cosecha cereales
"Renfe recibe el interés de 30 empresas para aliarse con su filial de Mercancías
https://t.co/QJiO3Dk8Yl";Renfe;POS;POS;NEG;renfe recibe interés empresas aliarse filial mercancías
"El Gobierno pacta con Bildu su abstención en la ley de planes de pensiones a cambio de subir un 15% las no contributivas
https://t.co/UBNFrEkESp";pensiones;POS;POS;POS;gobierno pacta bildu abstención ley plane pensiones cambio subir contributivas
"Nueva Pescanova supera los 1.000 millones de facturación en 2021, más que antes de la pandemia, y duplica beneficios
https://t.co/KQFe1XFQik";Pescanova;POS;POS;NEG;nueva pescanova supera millones facturación pandemia duplica beneficios
"Funcas destaca que la afiliación encadena dos meses de ""fuerte crecimiento"", pese al fin de los ERTE
https://t.co/QyIuKFQRCQ";afiliación;POS;POS;POS;funcas destaca afiliación encadena do me fuerte crecimiento pese fin erte
"Saitec inicia los trámites para instalar un parque eólico flotante piloto en aguas de la Costa Brava
https://t.co/yWmOCsu7ta";Saitec;POS;POS;NEG;saitec inicia trámites instalar parque eólico flotante piloto agua costa brava
"El #Ibex35 cierra la sesión prácticamente plano frente a los índices europeos, que finalizan con aumentos
https://t.co/mUhNLA65a5 https://t.co/5bpHl2JLos";#Ibex35;NEG;NEG;NEG;ibex cierra sesión prácticamente plano frente índices europeos finalizan aumentos
"CEOE y Cepyme ven positivos los datos del paro pero alertan sobre la creación de falsas expectativas
https://t.co/YSJeWfrZMu";paro;POS;POS;POS;ceoe cepyme ven positivos datos paro alertan creación falsas expectativas
"El Congreso destopa las bases máximas de cotización por un error del PSOE
https://t.co/8JJ471RSj8";PSOE;NEG;NEG;NEG;congreso destopa base máximas cotización error psoe
"Maroto celebra el papel ""activo"" del turismo en la recuperación económica de España
https://t.co/AYPBJQWtOq";turismo;POS;POS;POS;maroto celebra papel activo turismo recuperación económica españa
"El Gobierno salva su ley de planes de pensiones con apoyo de PNV y PRC, y la abstención de Vox y Bildu
https://t.co/zW0NxyP8gh";Gobierno;POS;POS;POS;gobierno salva ley plane pensiones apoyo pnv prc abstención vox bildu
"Trabajo prevé que el paro siga reduciéndose en los próximos meses y destaca el efecto de la reforma laboral
https://t.co/AjPtyAEodm";paro;POS;POS;POS;trabajo prevé paro siga reduciéndose próximos me destaca efecto reforma laboral
"El bono español a 10 años rinde a su mayor nivel desde mediados de 2015, superando el 2,3%
https://t.co/8KXDGofVVY";bono español;POS;POS;POS;bono español años rinde mayor nivel mediados superando
"OHLA prevé crecer a un ritmo de dos concesiones al año a pesar de la incertidumbre económica
https://t.co/5ZzXvgbZ82";OHLA;POS;POS;NEG;ohla prevé crecer ritmo do concesiones año pesar incertidumbre económica
