ID,Heading,Target,S. Target,S. Others,S. Society
35223,El Banco de España pide a la banca que use los colchones de capital para los deterioros,Banco de España,1,0,1
35495,El expresidente de la CNMV Sebastián Albella se incorpora a Latham & Watkins,expresidente de la CNMV Sebastián Albella,0,0,0
35529,Codere pide 100 millones más a sus bonistas y estudia capitalizar parte de su deuda,Codere,1,-1,0
36141,CaixaBank iniciará este lunes la unificación de la marca en su red de oficinas,CaixaBank,1,0,0
36248,Las trabajadoras en ERTE no pueden cobrar la prestación por riesgo en el embarazo,Las trabajadoras en ERTE,-1,0,-1
37286,Francia dará primas a los que desguacen su coche para comprar una bicicleta,Francia,1,0,1
38094,Cellnex cierra su macroampliación de capital con fuerte demanda,Cellnex,1,0,0
38612,Meliá trabaja en China con ocupaciones que llegan incluso al 100%,Meliá,1,0,0
38945,El Gobierno se compromete a subir las pensiones conforme al IPC y no habrá compensaciones por inflación negativa,El Gobierno,1,0,1
39702,"Openbank, nuevo patrocinador oficial del Mutua Madrid Open",Openbank,1,0,0
40165,Cellnex salta mañana al cuarto puesto por capitalización,Cellnex,1,-1,0
40229,ETL lanza Medvision para el colectivo médico,Medvision,1,0,1
40230,Renfe suspende una licitación de 1.300 millones por contaminante,Renfe,1,0,1
41180,Catarata de subidas de impuestos y nuevas tasas para este año y 2022,impuestos y nuevas tasas,-1,-1,-1
41485,Las aseguradoras verán reducida su red bancaria en 1.560 oficinas,Las aseguradoras,-1,-1,0
41820,Ferrovial y Acciona impugnan el principal contrato de Colau,Ferrovial,-1,0,0
42985,CaixaBank planea igualar las condiciones laborales de su plantilla y la de Bankia,CaixaBank,1,0,1
43169,"Los usuarios del transporte público aumentaron un 31,6% en marzo, la primera subida en pandemia",usuarios del transporte público,1,0,1
43931,Subida contenida en 2022 en A Coruña y Vigo,Subida contenida,1,1,1
44090,"Nestlé, Heineken y P&G fueron las marcas que más innovación llevaron a los supermercados en 2020",Nestlé,1,0,1
44965,Calviño lleva al BCE y a la JUR la necesidad de “minimizar” la pérdida de empleo en la banca,Calviño,1,0,1
45071,El Gobierno encarecerá el recibo de la luz por la interconexión con Marruecos,El Gobierno,-1,-1,-1
46632,Las pretensiones de EEUU de una mayor regulación abren un horizonte de más 'bandazos' en las criptomonedas,Las pretensiones de EEUU,-1,-1,0
46962,"BBVA, primer banco español en sumarse a la Alianza para la Contabilidad del Carbono",BBVA,1,0,0
47374,WhatsApp añade nuevas funciones para mejorar la comunicación entre empresas y clientes,WhatsApp,1,1,1
47434,La hora del ‘Green Recovery’ y la digitalización,‘Green Recovery’,1,0,0
47944,CaixaBank se abre a rebajar más los despidos por el ERE,CaixaBank,1,0,1
48007,Claves para ahorrar impuestos al cobrar el seguro de vida,Claves para ahorrar impuestos,1,0,1
49661,Así será el fondo de recapitalización para pymes y empresas medianas,fondo de recapitalización,0,0,0
50148,"Acerinox se desploma un 7%: Nippon Steel coloca el 7,9% a 10,2 euros",Acerinox,-1,0,0
50247,Las empresas ya trasladan a los precios la presión de las materias primas y la energía,Las empresas,-1,-1,-1
50288,"Así es como Tous, Scalpers y D.Franklin pisan el acelerador digital tras el Covid-19",Tous,1,1,1
50431,El lobby europeo del capital riesgo tiene nueva presidenta para afrontar un periodo clave,lobby europeo del capital riesgo,1,0,0
50518,Openbank abarata la hipoteca fija a los clientes más diligentes,Openbank,1,0,1
50621,Primafrio cancela su salida a Bolsa por la baja demanda,Primafrio,-1,0,0
50654,Primafrio aplaza su salida a Bolsa,Primafrio,1,0,0
50736,Brasil calcula que recibirá 20.000 millones de dólares por la privatización de Eletrobras,Brasil,1,0,-1
51611,BBVA pide igualdad de trato para los planes de pensiones de empresa y los individuales,BBVA,0,0,0
51629,"Vivienda: esperando la ""remontada""",Vivienda,-1,0,0
51851,El Tribunal Supremo convierte en indefinidos a los interinos que lleven más de tres años en la Administración,El Tribunal Supremo ,1,0,1
52148,Repsol sale al mercado para captar 1.250 millones en deuda sostenible,Repsol,1,0,1
52695,Un plan de acción para reflotar el sector turístico,plan de acción,1,1,1
52734,"Lagarde se niega a cancelar la deuda pública para evitar problemas como los de ""Venezuela, Argentina y Líbano""",Lagarde,1,1,1
53678,La banca puede convertirse en el sector con mayor rentabilidad por dividendo,La banca,1,1,0
53892,Alemania podría incluir a toda España en la zona de riesgo por Covid,España,-1,-1,-1
54038,"Santander: ""Estamos atentos a oportunidades inorgánicas en EEUU""",Santander,1,0,0
54992,Ayuso propone a Hacienda emular su modelo de bajos impuestos en todo el país,modelo de bajos impuestos,1,1,1
55027,El BCE ligará los dividendos de la banca a los test de estrés,El BCE,0,0,0
55404,Gay de Liébana: la voz de la economía,Gay de Liébana,1,0,0
55520,El 'efecto Amazon' fija la pauta para el salario mínimo en EEUU,efecto Amazon,1,0,1
56575,"Recuperación e inflación, protagonistas de este semestre en los fondos",Recuperación,1,1,1
56682,La firma de hipotecas alcanza niveles prepandemia y el tipo fijo gana adeptos,firma de hipotecas,1,1,1
56728,Bankinter: hay vida sin Línea Directa,Bankinter,1,0,0
56843,"Tras los descalabros del lunes, el Ibex 35 lanza un claro mensaje de fortaleza",el Ibex 35,1,1,1
56953,Cómo actuará el mercado en el segundo semestre,el mercado,0,0,0
57067,Santander planta cara a los gigantes de Wall Street,Santander,1,0,0
57513,El Corte Inglés eleva un 14% la deuda desde febrero tras unos gastos extra de 220 millones,El Corte Inglés,-1,0,0
60115,Wallbox promete a sus inversores la instalación de nuevas plantas por todo el mundo,Wallbox,1,1,0
60482,El potencial reemplazo de Powell afectará a la renta fija y entorpecerá el tapering,reemplazo de Powell,-1,-1,-1
61384,La Reserva Federal estudia reducir la compra de bonos a final de año,La Reserva Federal ,1,1,1
61478,"Goldman baja del 9% al 5,5% su previsión de alza del PIB de EE UU del tercer trimestre",Goldman,-1,0,0
62161,Disa redujo un 38% su negocio petrolero por el Covid,Disa,-1,0,0
62375,Esta es la parte de tu nómina que dice lo que cotizas a la Seguridad Social,parte de tu nómina,0,0,0
63211,"El IPC escala al 3,3% y elevará la factura de las pensiones en más de 3.200 millones",El IPC,1,0,1
63583,"La banca europea afronta su ""última oportunidad"" para crear un gran campeón de los pagos",banca europea,1,1,0
63843,La reforma de las pensiones sigue estando pendiente,reforma de las pensiones,-1,0,-1
63891,La UE y AstraZeneca ponen fin a la batalla legal por los retrasos de entregas de vacunas,La UE,1,1,1
64035,La “prosperidad común” de Xi es una caja negra financiera,“prosperidad común” de Xi,-1,-1,-1
64520,Los coches eléctricos cortocircuitarán a los concesionarios,Los coches eléctricos,-1,-1,0
65312,"Fitch, Moody's y S&P otorgan grado de inversión a Cepsa",Cepsa,1,0,0
65554,"Frinsa, proveedor de atún de Lidl o Carrefour, facturó un récord de 588 millones en 2020",Frinsa,1,0,0
65574,El proyecto energético del Gobierno sale victorioso de su reválida en el Congreso,proyecto energético del Gobierno,1,0,1
66513,Google reduce beneficio en España tras elevar un 31% la plantilla de la filial,Google,-1,0,1
67240,Mirakl capta 472 millones para expandir el negocio de los 'marketplace',Mirakl,1,1,1
67465,Calviño aboga por retrasar la reforma fiscal hasta la recuperación,Calviño,-1,-1,-1
67817,Los economistas ultiman rebajar del 6% su previsión de crecimiento para 2021 tras la revisión a la baja del INE,Los economistas,-1,-1,-1
68028,Las autoridades chinas detienen al presidente y al consejero delegado de HNA,HNA,-1,0,0
68191,"Alemania: cinco escenarios para la Bolsa, el Ibex y la prima de riesgo",Alemania,0,0,0
68882,El regulador financiero de Suiza aprueba el primer fondo de inversión en criptoactivos,regulador financiero de Suiza,1,1,1
68903,La voracidad de China con el carbón impulsará aún más los precios de la energía,voracidad de China,-1,-1,-1
69310,"Argelia garantiza a España ""la continuidad del suministro"" de gas",Argelia,1,1,1
69736,"Diez años después de la muerte de Steve Jobs, Apple sigue siendo la empresa más valiosa del mundo",Apple,1,-1,0
69737,Renfe afronta mañana un nuevo día de paros parciales de los maquinistas,Renfe,-1,-1,-1
69885,Guindos aprecia factores estructurales en la subida de la inflación,Guindos,1,0,0
70135,La UE reduce su lista de paraísos fiscales en medio del escándalo por los 'Papeles de Pandora',La UE,-1,-1,1
71272,Más recortes para el ahorro en planes de pensiones,planes de pensiones,-1,0,-1
71795,Presupuesto populista con cimientos frágiles,Presupuesto populista,-1,-1,-1
72293,Empieza el juicio por los 500 seísmos que causó la inyección de gas en Castor,Castor,-1,0,-1
72449,"‘Arrivederci’ Alitalia, no se te echará de menos",Alitalia,-1,0,0
72967,El 'gurú' tecnológico que saca a bolsa el primer equipo de fútbol español,El 'gurú' tecnológico,1,1,0
73483,Bancos y turísticas frenan el repunte de pagos de dividendos en 2021,Bancos,-1,0,0
73840,Lyft registró 4.000 denuncias de agresiones sexuales entre 2017 y 2019,Lyft,-1,0,-1
74137,De Cos pide que se conserve la flexibilidad interna de las empresas aprobada por el PP,De Cos,1,1,0
74200,CaixaBank pierde cuota en empresas por la fusión: ganan Bankinter y Sabadell,CaixaBank,-1,1,0
74945,Los grandes valores más baratos de Europa incluyen a Banco Santander y BBVA,valores más baratos,1,1,0
75672,Los grandes valores más baratos de Europa incluyen a Banco Santander y BBVA,Banco Santander,1,0,0
75947,Las 'Big Tech' crecen un 26% con el impulso de Microsoft y Google,Las 'Big Tech',1,1,1
77260,Squid: así colapsó la criptomoneda del ‘Juego del calamar’,Squid,-1,0,0
77939,"Facebook sabe que es nocivo para 360 millones de usuarios, el 12,5% del total",Facebook,-1,0,-1
77984,Biden no cree que la OPEP+ vaya a ayudar con los precios del petróleo,la OPEP+,-1,-1,-1
78318,Sabadell coloca 750 millones de euros en ‘cocos’ al 5%,Sabadell,1,0,0
79183,El misterio de quién inventó el bitcóin llega a juicio,el bitcóin,-1,0,0
79260,Igualada reinventa su industria de la moda: tricot para el ‘fast fashion’ y piel para el lujo,Igualada,1,1,1
80591,La UE advierte de las consecuencias económicas que tendrá no encontrar solución a la crisis de los refugiados,UE,1,-1,-1
82648,La deuda de las familias cae en 25.000 millones en 2015 y marca niveles previos a la crisis,deuda de las familias,-1,-1,-1
83601,TAG Heuer se sube a los esquís,TAG Heuer,1,0,0
86031,La Caixa invierte 150 millones en un proyecto urbanístico en Andorra,La Cixa,1,1,1
89440,Glencore vende un 40% de su negocio agrícola a un fondo canadiense,Glencore,1,0,0
89462,"Worktel, la opción para montar su oficina en un hotel",Worktel,1,1,0
89633,"Pikolin, único finalista español al premio a la Excelencia Logística",Pikolin,1,0,0
91332,"Las ventas de vehículos de ocasión cae un 9,7% en el primer trimestre del año",ventas de vehículos de ocasión,-1,0,0
94233,Fondos cotizados para cada perfil inversor,Fondos cotizados,0,0,0
94312,La incubadora del CEEIARAGON acoge tres nuevas empresas,CEEIARAGON,1,1,0
95597,"El agua, elemento imprescindible para el desarrollo económico",El agua,1,1,1
95626,Grup Peralada compra el edificio de Versace en el Passeig de Gràcia,Grup Peralada,1,0,0
96447,El BCE invierte 348 millones en sus primeras compras de bonos de empresas,El BCE,1,1,0
96630,Los hogares aragoneses podrían ahorrar 158 millones al año en la factura energética,hogares aragoneses,1,0,1
96850,Renault Pasion Tour: un evento pensado para toda la familia,Renault Pasion Tour,1,0,1
97337,"Bestinver: no hay ""momento más inoportuno"" para el Brexit",Bestinver,-1,-1,-1
98690,"La AIReF asegura que el PIB creció un 0,75% en el segundo trimestre y repuntará un 0,8% en el tercero",el PIB,1,1,1
98822,El sector servicios crece al ritmo más rápido desde noviembre,sector servicios,1,1,1
99163,"Ortiz devuelve 41 millones a Ikea y reclama 20 millones a Alicante y el Consell por ""errores""",Ortiz,-1,1,0
99212,Draghi protesta por el registro policial efectuado en el banco central de Eslovenia,Draghi,-1,-1,0
99766,Los ‘nuevos’ ERTE mantienen la prohibición de despedir y eliminan las ventajas sociales a las empresas que no formen,Los ‘nuevos’ ERTE,1,-1,1
101623,Las CCAA y los sindicatos exigen ‘seguridad jurídica’ en la reforma para los interinos,Las CCAA,1,0,1
102304,"Santander ganó 2.911 millones de euros, un 32% menos, y supera previsiones",Santander,1,0,0
103372,Volkswagen introducirá el filtro de partículas en los motores de gasolina a partir de 2017,Volkswagen,1,0,1
104510,Dogi convoca junta extraordinaria para ratificar la compra de Treiss,Dogi,1,0,0
104674,Las unit economics como base del modelo de negocio,unit economics,1,0,0
105038,Qué es el Registro Mercantil,el Registro Mercantil,0,0,0
107605,Hugo Boss advierte de que no cumplirá previsiones por el descenso de ventas en China,Hugo Boss,-1,0,0
111632,Avinatur sitúa su planta de Granada a la cabeza del sector,Avinatur,1,0,0
112377,Pérez Baquero abrirá un hotel de 5 estrellas junto a Plaça Catalunya,Pérez Baquero,1,0,1
112691,"La inflación de la eurozona se mantiene en el 0,2% en agosto",inflación de la eurozona,0,0,0
113892,Rodilla crea un servicio de catering para empresas,Rodilla,1,1,0
114012,ING recrudece la batalla hipotecaria al rebajar sus hipotecas fija y mixta,ING,1,-1,1
114260,"Nike HyperAdapt 1.0, las zapatillas que se atan solas",Nike HyperAdapt 1.0,1,0,1
114615,La apuesta de la NFL por la globalización,la NFL,1,0,0
117947,"Banco Sabadell supera las previsiones y eleva su beneficio un 11,6% hasta septiembre",Banco Sabadell,1,0,0
117963,"Vemedia: ""Queremos hacer compras en España""",Vemedia,1,1,1
118683,El número de desempleados aumenta en 932 personas en octubre,número de desempleados,-1,-1,-1
119002,En libertad con cargos cuatro de los detenidos de la organización UPA Extremadura,detenidos de la organización UPA,-1,0,0
119622,Las coberturas menos conocidas de los seguros de coche,coberturas ,0,0,0
119799,Así afecta la política de Trump a diez empresas,política de Trump,0,0,0
120717,El AVE llegará a Murcia a finales de 2017,El AVE,1,0,1
120799,"El nuevo escenario de tipos riega de pérdidas los bonos de Telefónica, Abertis e Iberdrola",nuevo escenario de tipos,-1,-1,0
120821,AQR desembarca en BBVA y ya es el mayor azote bajista de la banca,AQR,1,0,0
121398,Destinia cierra el 'Black Friday' con una subida del 34% en su facturación,Destinia,1,0,0
121566,"Segway lanza Ninebot Mini, su último y divertidísimo monopatín eléctrico",Ninebot Mini,1,0,1
122158,El grifo de cerveza se vuelve digital,grifo de cerveza,1,0,0
122345,China estrena mañana la conexión entre las bolsas de Hong Kong y Shenzhen,China,1,1,0
122954,"Gibraltar pide un ""acuerdo diferenciado"" con la UE tras el Brexit",Gibraltar,1,0,1
122976,Barcelona premiará con tres años de transporte público gratuito a los que se deshagan de sus coches contaminantes,Barcelona,1,0,1
122988,El verano creó 5.000 empleos más en los mayores destinos,El verano,1,1,1
123807,La Societat Econòmica d'Amics del País pide diálogo y rechaza la desobediencia,La Societat Econòmica d'Amics,1,1,1
124461,"El Sorteo de Navidad deja 1,46 millones en la provincia de Badajoz",Sorteo de Navidad,1,0,1
124875,Fondo de Garantía Inversiones en Degiro Broker Online,Fondo de Garantía Inversiones,0,0,0
125374,Grocasa Hipotecas consolida su crecimiento en 2021,Grocasa Hipotecas,1,0,0
127276,Saracho deja JP Morgan para fichar como presidente de Popular,Saracho,0,0,0
127583,Las empresas han dado un salto de competitividad,Las empresas,1,1,0
128066,La sombra de Donald Trump se cierne sobre la economía mexicana,sombra de Donald Trump,-1,-1,-1
131558,Abe pide cifras de inversión en EEUU para Trump,Abe,1,0,0
132436,"Gaia apuesta por alianzas, centros de innovación y oferta especializada",Gaia,1,1,1
132572,Una sentencia avala que se pueda despedir a un miembro del comité de empresa,miembro del comité de empresa,-1,0,0
132795,19 campañas de publicidad increibles,,,,
133061,Un vicepresidente de Santander presidirá Lloyds of London,vicepresidente de Santander,1,0,0
133065,La oposición obliga a retirar los expedientes de modificación de crédito para pagar los ICO,La oposición,1,1,0
134608,Grecia pide 3.000 millones al Banco Mundial para crear 300.000 empleos,Grecia,-1,-1,-1
134672,Los trabajadores de Nueva Pescanova irán a la huelga el 14 y el 21 de marzo,trabajadores de Nueva Pescanov,-1,0,-1
136008,"China lidera una nueva energía nuclear, limpia y barata, basada en el torio",China,1,1,1
136676,"El Chart de Hódar: Liberbank, a la cabeza del sector",Liberbank,1,0,0
137233,Moneycorp crece en España con las miras puestas en América Latina,Moneycorp,1,0,0
137541,Wall Street vuelve a tirar del carro,Wall Street,1,1,1
138317,G310R de BMW o cómo una marca 'premium' apuesta por el 'low cost',BMW,1,-1,1
138350,"Vara se siente ""engañado"" con la inversión de los Presupuestos en Extremadura",Vara,-1,0,0
138373,Algora inicia una campaña para que el nuevo Seat lleve su nombre,Algora,1,0,0
138931,"El PIB francés crece un 0,3% en el primer trimestre",El PIB francés,1,1,1
139518,Aragón Plataforma Logística estrena web con un buscador único de parcelas,Aragón Plataforma Logística,1,0,1
141444,Empark se adjudica su primer contrato en Francia,Empark,1,0,0
142233,"Repsol somete este viernes a su junta de accionistas el pago de un dividendo complementario de 0,45 euros",Repsol,-1,0,0
143695,Más cambios en L’Occitane: la compañía nombra nuevo consejero delegado,L'Occitane,0,0,0
143852,Un documental chino muestra que hay vida después de la quiebra de una empresa,documental chino,1,1,1
144733,"Apple añade a su familia de tabletas un iPad Pro de 10,5 pulgadas",Apple,1,-1,1
145730,El FMI insta a China a acelerar las reformas para consolidar su crecimiento,El FMI,1,0,0
145746,Primark abre la tienda más grande de Cataluña en Tarragona,Primark,1,0,1
145878,"España, el país más barato de la eurozona para comprar ropa",España,1,1,1
148702,"Vinissimus, de la bodega a la Red",Vinissimus,0,0,0
148775,Los áticos y dúplex de obra nueva más lujosos del centro de Madrid,Los áticos y dúplex,1,0,0
148820,IBM presenta un procesador cuántico cuya capacidad de cálculo es imposible de simular con un ordenador clásico,IBM,1,1,1
149719,Diez planes de pensiones con rentabilidades superiores al 30%,planes de pensiones,1,0,1
149728,Las islas lideran la subida de precios en el primer semestre,Las islas,1,0,0
150654,Leopoldo del Nogal abandona el consejo de administración de El Corte Inglés,Leopoldo del Nogal,-1,0,0
151459,Boeing sube en bolsa después de volver a la senda de los beneficios tras dos años,Boeing,1,0,0
152485,"Regal Lion, el tapón joya para vinos y licores que cuesta 21.000 euros",Regal Lion,1,0,0
152846,Ericsson podría recortar hasta 25.000 empleos fuera de Suecia,Ericsson,-1,0,-1
153588,Value investing en la asignación de carteras de los fondos de fondos,Value investing,1,0,0
154530,El BCE ultima el cambio regulatorio que evitará un nuevo 'caso Popular',El BCE,1,0,0
154964,La producción industrial modera su avance en julio con un alza del 2%,La producción industrial,1,1,1
156169,Técnicas Reunidas y el reto de lograr nuevos contratos,Técnicas Reunidas,-1,0,0
156202,Los Técnicos de Hacienda recomiendan aprobar por decreto ley la intervención de cuentas de Cataluña,Los Técnicos de Hacienda,1,1,1
156774,Las empresas del Ibex 35 desaprovechan el potencial de las redes sociales,empresas del Ibex 35,-1,-1,0
159246,Las gestoras catalanas frenan los reembolsos de sus fondos,gestoras catalanas,-1,0,0
159592,El fondo Lone Star cierra la compra de Novo Banco,El fondo Lone Star,1,0,0
161210,Ávoris compra a Globalia la marca Latitudes,Ávoris,1,0,0
161520,Pensiones en España: tenemos un problema,Pensiones en España,-1,-1,-1
161813,"Trump: ""La paciencia estratégica con Pyongyang se ha acabado""",paciencia estratégica con Pyongyang,-1,-1,-1
162207,La fiscalía investiga a Commerzbank por presunta evasión de impuestos,Commerzbank,-1,0,-1
162547,Berenberg reincide en su pesimismo sobre la banca española,Berenberg,-1,-1,-1
162807,"Solaria ganó 5,6 millones de euros hasta septiembre, casi el doble",Solaria,1,0,0
162883,"Vodafone, una vieja estrella de rock",Vodafone,1,0,0
164304,Fomento tendrá licitadas las obras de los seis tramos del Corredor Murcia-Almería antes de junio de 2018,Fomento,1,0,1
165523,"Xavier Domènech: ""Necesitamos un acuerdo transversal con agentes políticos, sociales y económicos""",Xavier Domènech,0,0,0
166773,El Gobierno destaca el ejemplo de reconversión de Chocolates Trapa,Chocolates Trapa,1,0,0
166788,"Allen & Overy y Herbert, las marcas más valoradas de Europa",Allen & Overy,1,0,0
167271,"Santisteve confía en la ""buena voluntad"" del PSOE para llegar a un acuerdo en el presupuesto de 2018","""buena voluntad"" del PSOE",1,1,1
167324,Correos abre su Departamento de Envíos Extraordinarios por Navidad,Correos,1,1,1
168205,El Gobierno de Aragón resuelve casi mil becas para universitarios aragoneses,Gobierno de Aragón,1,0,1
168485,"Roberto Scholtes: ""La Bolsa europea puede subir hasta un 12% este año""",La Bolsa europea,1,1,1
168553,"El precio de la vivienda nueva sube un 5% en 2017, la mayor subida en diez años",precio de la vivienda nueva,-1,0,-1
169594,El futbolista del Real Madrid Marcelo paga medio millón de euros a Hacienda y evita una pena de cárcel de 4 meses,Marcelo,-1,-1,0
169790,"HSBC toma un 6,9% de Axiare en plena opa de Colonial",HSBC,1,-1,0
170208,Aragón sigue fortaleciendo sus relaciones comerciales con Yiwu,Aragón,1,0,0
170292,Inditex es optimista ante el cierre de su ejercicio,Inditex,1,0,1
170640,El recibo de la luz bajaría un 55% en 2050 si se cumpliera la reducción de emisiones,recibo de la luz,1,1,1
171440,"Reino Unido mantendrá intacta la ""estructura legal"" de la UE durante la transición del Brexit",Reino Unido,1,1,1
171559,"Ana Botín ingresará este jueves 1,21 millones de euros por el tercer dividendo a cuenta de Santander",Ana Botín,1,1,0
172692,El Consejo de Ministros aprobará este mes la Obligación de Servicio Público,El Consejo de Ministros,1,0,1
172718,"Siemens Gamesa: el ajuste de plantilla no se hizo bien porque ""hubo mucho ruido y rumores""",Siemens Gamesa,-1,0,0
172769,"La Junta valora que el aumento de la producción industrial refleja la ""intensa recuperación del sector""",La Junta,1,1,1
173857,Aena estudia mejorar el dividendo para aplacar las exigencias de TCI,Aena,1,0,0
173981,España pierde su segundo arbitraje internacional por el recorte de las primas a las renovables,España,-1,-1,-1
186251,Así puede obligarte tu banco a pagar comisiones: puede pasar en esos casos,tu banco,1,0,-1
209799,Amazon duplicará plantilla en España con la creación de 1.600 empleos en 2018,Amazon,1,0,1
213098,Citroën lanza unas gafas antimareo para facilitar la operación salida y los viajes en coche,Citroën,1,0,1
